"Time","X4th.Ventricle"
-52.64,2353.82318177239
-52.63,2353.82342272167
-52.62,2353.82366367096
-52.61,2353.82390462024
-52.6,2353.82414556953
-52.59,2353.82438651882
-52.58,2353.8246274681
-52.57,2353.82486841739
-52.56,2353.82510936667
-52.55,2353.82535031596
-52.54,2353.82559376092
-52.53,2353.82583738639
-52.52,2353.82608101186
-52.51,2353.82632463733
-52.5,2353.8265682628
-52.49,2353.82681188827
-52.48,2353.82705551374
-52.47,2353.82729913921
-52.46,2353.82754276468
-52.45,2353.82778732748
-52.44,2353.82803365608
-52.43,2353.82827998468
-52.42,2353.82852631329
-52.41,2353.82877264189
-52.4,2353.8290189705
-52.39,2353.8292652991
-52.38,2353.82951162771
-52.37,2353.82975795631
-52.36,2353.83000428491
-52.35,2353.83025269119
-52.34,2353.83050175011
-52.33,2353.83075080904
-52.32,2353.83099986797
-52.31,2353.83124892689
-52.3,2353.83149798582
-52.29,2353.83174704475
-52.28,2353.83199610367
-52.27,2353.8322451626
-52.26,2353.83249470459
-52.25,2353.83274652127
-52.24,2353.83299833794
-52.23,2353.83325015462
-52.22,2353.8335019713
-52.21,2353.83375378797
-52.2,2353.83400560465
-52.19,2353.83425742133
-52.18,2353.834509238
-52.17,2353.83476105468
-52.16,2353.835014513
-52.15,2353.8352691151
-52.14,2353.83552371719
-52.13,2353.83577831929
-52.12,2353.83603292138
-52.11,2353.83628752348
-52.1,2353.83654212557
-52.09,2353.83679672767
-52.08,2353.83705132976
-52.07,2353.83730594192
-52.06,2353.83756335735
-52.05,2353.83782077277
-52.04,2353.8380781882
-52.03,2353.83833560362
-52.02,2353.83859301905
-52.01,2353.83885043447
-52,2353.8391078499
-51.99,2353.83936526532
-51.98,2353.83962268075
-51.97,2353.8398812833
-51.96,2353.84014154021
-51.95,2353.84040179712
-51.94,2353.84066205404
-51.93,2353.84092231095
-51.92,2353.84118256786
-51.91,2353.84144282477
-51.9,2353.84170308168
-51.89,2353.84196333859
-51.88,2353.84222359551
-51.87,2353.84248624013
-51.86,2353.84274936694
-51.85,2353.84301249374
-51.84,2353.84327562054
-51.83,2353.84353874734
-51.82,2353.84380187414
-51.81,2353.84406500094
-51.8,2353.84432812774
-51.79,2353.84459125454
-51.78,2353.84485509495
-51.77,2353.84512112029
-51.76,2353.84538714563
-51.75,2353.84565317097
-51.74,2353.84591919632
-51.73,2353.84618522166
-51.72,2353.846451247
-51.71,2353.84671727234
-51.7,2353.84698329768
-51.69,2353.84724932302
-51.68,2353.84751728165
-51.67,2353.84778623443
-51.66,2353.84805518722
-51.65,2353.84832414
-51.64,2353.84859309278
-51.63,2353.84886204557
-51.62,2353.84913099835
-51.61,2353.84939995113
-51.6,2353.84966890392
-51.59,2353.84993807728
-51.58,2353.85020998666
-51.57,2353.85048189603
-51.56,2353.85075380541
-51.55,2353.85102571479
-51.54,2353.85129762417
-51.53,2353.85156953354
-51.52,2353.85184144292
-51.51,2353.8521133523
-51.5,2353.85238526168
-51.49,2353.85265863065
-51.48,2353.85293352603
-51.47,2353.8532084214
-51.46,2353.85348331678
-51.45,2353.85375821216
-51.44,2353.85403310754
-51.43,2353.85430800292
-51.42,2353.8545828983
-51.41,2353.85485779367
-51.4,2353.85513268905
-51.39,2353.85541030763
-51.38,2353.85568821867
-51.37,2353.85596612971
-51.36,2353.85624404075
-51.35,2353.85652195179
-51.34,2353.85679986283
-51.33,2353.85707777387
-51.32,2353.85735568491
-51.31,2353.85763359595
-51.3,2353.85791247312
-51.29,2353.85819342974
-51.28,2353.85847438637
-51.27,2353.85875534299
-51.26,2353.85903629961
-51.25,2353.85931725623
-51.24,2353.85959821285
