"Time","Cerebellar.Vermis"
-52.64,9820.83545749386
-52.63,9820.83545749386
-52.62,9820.83545749386
-52.61,9820.83545749386
-52.6,9820.83545749386
-52.59,9820.83545749386
-52.58,9820.83545749386
-52.57,9820.83545749386
-52.56,9820.83545749386
-52.55,9820.83545749386
-52.54,9820.83545749386
-52.53,9820.83545749386
-52.52,9820.83545749386
-52.51,9820.83545749386
-52.5,9820.83545749386
-52.49,9820.83545749386
-52.48,9820.83545749386
-52.47,9820.83545749386
-52.46,9820.83545749386
-52.45,9820.83545749386
-52.44,9820.83545749386
-52.43,9820.83545749386
-52.42,9820.83545749386
-52.41,9820.83545749386
-52.4,9820.83545749386
-52.39,9820.83545749386
-52.38,9820.83545749386
-52.37,9820.83545749386
-52.36,9820.83545749386
-52.35,9820.83545749386
-52.34,9820.83545749386
-52.33,9820.83545749386
-52.32,9820.83545749386
-52.31,9820.83545749386
-52.3,9820.83545749386
-52.29,9820.83545749386
-52.28,9820.83545749386
-52.27,9820.83545749386
-52.26,9820.83545749386
-52.25,9820.83545749386
-52.24,9820.83545749386
-52.23,9820.83545749386
-52.22,9820.83545749386
-52.21,9820.83545749386
-52.2,9820.83545749386
-52.19,9820.83545749386
-52.18,9820.83545749386
-52.17,9820.83545749386
-52.16,9820.83545749386
-52.15,9820.83545749386
-52.14,9820.83545749386
-52.13,9820.83545749386
-52.12,9820.83545749386
-52.11,9820.83545749386
-52.1,9820.83545749386
-52.09,9820.83545749386
-52.08,9820.83545749386
-52.07,9820.83545749386
-52.06,9820.83545749386
-52.05,9820.83545749386
-52.04,9820.83545749386
-52.03,9820.83545749386
-52.02,9820.83545749386
-52.01,9820.83545749386
-52,9820.83545749386
-51.99,9820.83545749386
-51.98,9820.83545749386
-51.97,9820.83545749386
-51.96,9820.83545749386
-51.95,9820.83545749386
-51.94,9820.83545749386
-51.93,9820.83545749386
-51.92,9820.83545749386
-51.91,9820.83545749386
-51.9,9820.83545749386
-51.89,9820.83545749386
-51.88,9820.83545749386
-51.87,9820.83545749386
-51.86,9820.83545749386
-51.85,9820.83545749386
-51.84,9820.83545749386
-51.83,9820.83545749386
-51.82,9820.83545749386
-51.81,9820.83545749386
-51.8,9820.83545749386
-51.79,9820.83545749386
-51.78,9820.83545749386
-51.77,9820.83545749386
-51.76,9820.83545749386
-51.75,9820.83545749386
-51.74,9820.83545749386
-51.73,9820.83545749386
-51.72,9820.83545749386
-51.71,9820.83545749386
-51.7,9820.83545749386
-51.69,9820.83545749386
-51.68,9820.83545749386
-51.67,9820.83545749386
-51.66,9820.83545749386
-51.65,9820.83545749386
-51.64,9820.83545749386
-51.63,9820.83545749386
-51.62,9820.83545749386
-51.61,9820.83545749386
-51.6,9820.83545749386
-51.59,9820.83545749386
-51.58,9820.83545749386
-51.57,9820.83545749386
-51.56,9820.83545749386
-51.55,9820.83545749386
-51.54,9820.83545749386
-51.53,9820.83545749386
-51.52,9820.83545749386
-51.51,9820.83545749386
-51.5,9820.83545749386
-51.49,9820.83545749386
-51.48,9820.83545749386
-51.47,9820.83545749386
-51.46,9820.83545749386
-51.45,9820.83545749386
-51.44,9820.83545749386
-51.43,9820.83545749386
-51.42,9820.83545749386
-51.41,9820.83545749386
-51.4,9820.83545749386
-51.39,9820.83545749386
-51.38,9820.83545749386
-51.37,9820.83545749386
-51.36,9820.83545749386
-51.35,9820.83545749386
-51.34,9820.83545749386
-51.33,9820.83545749386
