"Time","Left.Hippocampus"
-52.64,2805.24897656972
-52.63,2805.23701675265
-52.62,2805.22505693558
-52.61,2805.21309711851
-52.6,2805.20113730143
-52.59,2805.18917748436
-52.58,2805.17721766729
-52.57,2805.16525785022
-52.56,2805.15329803315
-52.55,2805.14133821608
-52.54,2805.12929903326
-52.53,2805.11725410999
-52.52,2805.10520918672
-52.51,2805.09316426346
-52.5,2805.08111934019
-52.49,2805.06907441692
-52.48,2805.05702949365
-52.47,2805.04498457038
-52.46,2805.03293964711
-52.45,2805.02086508215
-52.44,2805.00873467582
-52.43,2804.9966042695
-52.42,2804.98447386318
-52.41,2804.97234345686
-52.4,2804.96021305054
-52.39,2804.94808264422
-52.38,2804.93595223789
-52.37,2804.92382183157
-52.36,2804.91169142525
-52.35,2804.89949568332
-52.34,2804.88727941765
-52.33,2804.87506315198
-52.32,2804.86284688631
-52.31,2804.85063062064
-52.3,2804.83841435497
-52.29,2804.8261980893
-52.28,2804.81398182363
-52.27,2804.80176555797
-52.26,2804.78953418679
-52.25,2804.77723168607
-52.24,2804.76492918534
-52.23,2804.75262668462
-52.22,2804.74032418389
-52.21,2804.72802168317
-52.2,2804.71571918244
-52.19,2804.70341668172
-52.18,2804.69111418099
-52.17,2804.67881168027
-52.16,2804.66645813392
-52.15,2804.65406902304
-52.14,2804.64167991216
-52.13,2804.62929080129
-52.12,2804.61690169041
-52.11,2804.60451257953
-52.1,2804.59212346865
-52.09,2804.57973435778
-52.08,2804.5673452469
-52.07,2804.5549558248
-52.06,2804.54247972931
-52.05,2804.53000363382
-52.04,2804.51752753833
-52.03,2804.50505144284
-52.02,2804.49257534735
-52.01,2804.48009925186
-52,2804.46762315638
-51.99,2804.45514706089
-51.98,2804.4426709654
-51.97,2804.430158373
-51.96,2804.41759491911
-51.95,2804.40503146521
-51.94,2804.39246801132
-51.93,2804.37990455742
-51.92,2804.36734110352
-51.91,2804.35477764963
-51.9,2804.34221419573
-51.89,2804.32965074184
-51.88,2804.31708728794
-51.87,2804.30445084237
-51.86,2804.29179965696
-51.85,2804.27914847155
-51.84,2804.26649728614
-51.83,2804.25384610073
-51.82,2804.24119491532
-51.81,2804.22854372991
-51.8,2804.2158925445
-51.79,2804.20324135909
-51.78,2804.19056848296
-51.77,2804.17782919364
-51.76,2804.16508990433
-51.75,2804.15235061501
-51.74,2804.1396113257
-51.73,2804.12687203638
-51.72,2804.11413274707
-51.71,2804.10139345775
-51.7,2804.08865416844
-51.69,2804.07591487912
-51.68,2804.0631171605
-51.67,2804.05028939563
-51.66,2804.03746163076
-51.65,2804.02463386589
-51.64,2804.01180610102
-51.63,2803.99897833615
-51.62,2803.98615057128
-51.61,2803.97332280641
-51.6,2803.96049504153
-51.59,2803.94766064817
-51.58,2803.93474403686
-51.57,2803.92182742555
-51.56,2803.90891081424
-51.55,2803.89599420293
-51.54,2803.88307759162
-51.53,2803.87016098031
-51.52,2803.857244369
-51.51,2803.84432775769
-51.5,2803.83141114638
-51.49,2803.81845092498
-51.48,2803.80544509714
-51.47,2803.7924392693
-51.46,2803.77943344146
-51.45,2803.76642761362
-51.44,2803.75342178578
-51.43,2803.74041595794
-51.42,2803.72741013011
-51.41,2803.71440430227
-51.4,2803.70139847443
-51.39,2803.68831174905
-51.38,2803.67521633541
-51.37,2803.66212092178
-51.36,2803.64902550814
-51.35,2803.63593009451
-51.34,2803.62283468087
-51.33,2803.60973926723
-51.32,2803.5966438536
-51.31,2803.58354843996
-51.3,2803.57042449077
-51.29,2803.55723912291
-51.28,2803.54405375506
-51.27,2803.5308683872
-51.26,2803.51768301934
-51.25,2803.50449765149
-51.24,2803.49131228363
-51.23,2803.47812691578
-51.22,2803.46494154792
-51.21,2803.45175618006
-51.2,2803.43850474827
-51.19,2803.42522905864
-51.18,2803.41195336902
-51.17,2803.3986776794
-51.16,2803.38540198977
-51.15,2803.37212630015
-51.14,2803.35885061052
-51.13,2803.3455749209
-51.12,2803.33229923128
-51.11,2803.3190103343
-51.1,2803.30564395626
-51.09,2803.29227757822
-51.08,2803.27891120018
-51.07,2803.26554482214
-51.06,2803.2521784441
-51.05,2803.23881206606
-51.04,2803.22544568802
-51.03,2803.21207930998
-51.02,2803.19871293194
-51.01,2803.18529557814
-51,2803.17183814596
-50.99,2803.15838071379
-50.98,2803.14492328161
-50.97,2803.13146584943
-50.96,2803.11800841726
-50.95,2803.10455098508
-50.94,2803.0910935529
-50.93,2803.07763612073
-50.92,2803.06417868855
-50.91,2803.05063221018
-50.9,2803.0370833591
-50.89,2803.02353450802
-50.88,2803.00998565694
-50.87,2802.99643680586
-50.86,2802.98288795478
-50.85,2802.9693391037
-50.84,2802.95579025262
-50.83,2802.94224140154
-50.82,2802.92865691571
-50.81,2802.91501628194
-50.8,2802.90137564818
-50.79,2802.88773501441
-50.78,2802.87409438065
-50.77,2802.86045374688
-50.76,2802.84681311311
-50.75,2802.83317247935
-50.74,2802.81953184558
-50.73,2802.80589121181
-50.72,2802.79217663527
-50.71,2802.77844385604
-50.7,2802.76471107682
-50.69,2802.75097829759
-50.68,2802.73724551836
-50.67,2802.72351273913
-50.66,2802.7097799599
-50.65,2802.69604718068
-50.64,2802.68231440145
-50.63,2802.66856157936
-50.62,2802.65473629293
-50.61,2802.6409110065
-50.6,2802.62708572007
-50.59,2802.61326043364
-50.58,2802.59943514722
-50.57,2802.58560986079
-50.56,2802.57178457436
-50.55,2802.55795928793
-50.54,2802.5441340015
-50.53,2802.53025012767
-50.52,2802.51633197337
-50.51,2802.50241381906
-50.5,2802.48849566476
-50.49,2802.47457751045
-50.48,2802.46065935615
-50.47,2802.44674120185
-50.46,2802.43282304754
-50.45,2802.41890489324
-50.44,2802.4049825368
-50.43,2802.39097115504
-50.42,2802.37695977328
-50.41,2802.36294839152
-50.4,2802.34893700975
-50.39,2802.33492562799
-50.38,2802.32091424623
-50.37,2802.30690286447
-50.36,2802.29289148271
-50.35,2802.27888010094
-50.34,2802.26482573707
-50.33,2802.25072076939
-50.32,2802.23661580171
-50.31,2802.22251083402
-50.3,2802.20840586634
-50.29,2802.19430089866
-50.28,2802.18019593097
-50.27,2802.16609096329
-50.26,2802.1519859956
-50.25,2802.13788102792
-50.24,2802.1236940022
-50.23,2802.10949509128
-50.22,2802.09529618036
-50.21,2802.08109726944
-50.2,2802.06689835851
-50.19,2802.05269944759
-50.18,2802.03850053667
-50.17,2802.02430162575
-50.16,2802.01010271483
-50.15,2801.99587667483
-50.14,2801.98158346453
-50.13,2801.96729025423
-50.12,2801.95299704393
-50.11,2801.93870383363
-50.1,2801.92441062333
-50.09,2801.91011741303
-50.08,2801.89582420273
-50.07,2801.88153099242
-50.06,2801.86723778212
-50.05,2801.85287813428
-50.04,2801.83849026966
-50.03,2801.82410240505
-50.02,2801.80971454043
-50.01,2801.79532667581
-50,2801.78093881119
-49.99,2801.76655094658
-49.98,2801.75216308196
-49.97,2801.73777521734
-49.96,2801.72337632208
-49.95,2801.70889344944
-49.94,2801.69441057679
-49.93,2801.67992770415
-49.92,2801.66544483151
-49.91,2801.65096195887
-49.9,2801.63647908623
-49.89,2801.62199621359
-49.88,2801.60751334095
-49.87,2801.5930304683
-49.86,2801.57849702525
-49.85,2801.56391879214
-49.84,2801.54934055903
-49.83,2801.53476232592
-49.82,2801.5201840928
-49.81,2801.50560585969
-49.8,2801.49102762658
-49.79,2801.47644939347
-49.78,2801.46187116036
-49.77,2801.44729292724
-49.76,2801.4326242932
-49.75,2801.41795034846
-49.74,2801.40327640371
-49.73,2801.38860245897
-49.72,2801.37392851423
-49.71,2801.35925456949
-49.7,2801.34458062475
-49.69,2801.32990668
-49.68,2801.31523273526
-49.67,2801.30052433142
-49.66,2801.28575432521
-49.65,2801.27098431899
-49.64,2801.25621431278
-49.63,2801.24144430656
-49.62,2801.22667430035
-49.61,2801.21190429413
-49.6,2801.19713428792
-49.59,2801.1823642817
-49.58,2801.16759427549
-49.57,2801.15274975161
