"Time","Left.Cerebral.White.Matter"
-49.99,218146.229385713
-49.98,218146.532314396
-49.97,218146.835243079
-49.96,218147.138463805
-49.95,218147.443907886
-49.94,218147.749351967
-49.93,218148.054796048
-49.92,218148.360240129
-49.91,218148.66568421
-49.9,218148.971128291
-49.89,218149.276572372
-49.88,218149.582016453
-49.87,218149.887460534
-49.86,218150.194242411
-49.85,218150.50220917
-49.84,218150.810175928
-49.83,218151.118142687
-49.82,218151.426109445
-49.81,218151.734076204
-49.8,218152.042042962
-49.79,218152.350009721
-49.78,218152.657976479
-49.77,218152.965943238
-49.76,218153.27629942
-49.75,218153.586795972
-49.74,218153.897292523
-49.73,218154.207789074
-49.72,218154.518285626
-49.71,218154.828782177
-49.7,218155.139278729
-49.69,218155.44977528
-49.68,218155.760271832
-49.67,218156.071678361
-49.66,218156.384711655
-49.65,218156.697744949
-49.64,218157.010778243
-49.63,218157.323811537
-49.62,218157.63684483
-49.61,218157.949878124
-49.6,218158.262911418
-49.59,218158.575944712
-49.58,218158.888978006
-49.57,218159.203977252
-49.56,218159.519554069
-49.55,218159.835130887
-49.54,218160.150707704
-49.53,218160.466284521
-49.52,218160.781861339
-49.51,218161.097438156
-49.5,218161.413014973
-49.49,218161.728591791
-49.48,218162.044645816
-49.47,218162.362772767
-49.46,218162.680899718
-49.45,218162.99902667
-49.44,218163.317153621
-49.43,218163.635280573
-49.42,218163.953407524
-49.41,218164.271534475
-49.4,218164.589661427
-49.39,218164.907788378
-49.38,218165.227452688
-49.37,218165.548136212
-49.36,218165.868819735
-49.35,218166.189503258
-49.34,218166.510186781
-49.33,218166.830870304
-49.32,218167.151553827
-49.31,218167.47223735
-49.3,218167.792920874
-49.29,218168.113644228
-49.28,218168.436890585
-49.27,218168.760136943
-49.26,218169.0833833
-49.25,218169.406629658
-49.24,218169.729876015
-49.23,218170.053122373
-49.22,218170.37636873
-49.21,218170.699615088
-49.2,218171.022861445
-49.19,218171.34721179
-49.18,218171.673027067
-49.17,218171.998842344
-49.16,218172.324657621
-49.15,218172.650472899
-49.14,218172.976288176
-49.13,218173.302103453
-49.12,218173.62791873
-49.11,218173.953734007
-49.1,218174.279549285
-49.09,218174.607537594
-49.08,218174.935927696
-49.07,218175.264317799
-49.06,218175.592707902
-49.05,218175.921098004
-49.04,218176.249488107
-49.03,218176.57787821
-49.02,218176.906268312
-49.01,218177.234658415
-49,218177.563714709
-48.99,218177.894685361
-48.98,218178.225656013
-48.97,218178.556626665
-48.96,218178.887597317
-48.95,218179.21856797
-48.94,218179.549538622
-48.93,218179.880509274
-48.92,218180.211479926
-48.91,218180.542450578
-48.9,218180.875160025
-48.89,218181.208716766
-48.88,218181.542273508
-48.87,218181.875830249
-48.86,218182.209386991
-48.85,218182.542943732
-48.84,218182.876500474
-48.83,218183.210057215
-48.82,218183.543613957
-48.81,218183.87739504
-48.8,218184.213543225
-48.79,218184.54969141
-48.78,218184.885839595
-48.77,218185.22198778
-48.76,218185.558135965
-48.75,218185.89428415
-48.74,218186.230432335
-48.73,218186.56658052
-48.72,218186.902728705
-48.71,218187.240177208
-48.7,218187.578922002
-48.69,218187.917666796
-48.68,218188.25641159
-48.67,218188.595156384
-48.66,218188.933901178
-48.65,218189.272645972
-48.64,218189.611390766
-48.63,218189.95013556
-48.62,218190.288880354
-48.61,218190.630005549
-48.6,218190.971351927
-48.59,218191.312698305
-48.58,218191.654044683
-48.57,218191.995391062
-48.56,218192.33673744
-48.55,218192.678083818
-48.54,218193.019430196
-48.53,218193.360776574
-48.52,218193.702980934
-48.51,218194.046933679
-48.5,218194.390886424
-48.49,218194.734839169
-48.48,218195.078791914
-48.47,218195.422744659
-48.46,218195.766697404
-48.45,218196.110650149
-48.44,218196.454602894
-48.43,218196.798555639
-48.42,218197.144449348
-48.41,218197.491013048
-48.4,218197.837576748
-48.39,218198.184140447
-48.38,218198.530704147
-48.37,218198.877267847
-48.36,218199.223831546
-48.35,218199.570395246
-48.34,218199.916958946
-48.33,218200.26393482
-48.32,218200.613113865
-48.31,218200.962292911
-48.3,218201.311471956
-48.29,218201.660651002
-48.28,218202.009830047
-48.27,218202.359009093
-48.26,218202.708188138
-48.25,218203.057367184
-48.24,218203.40654623
-48.23,218203.757223137
-48.22,218204.109021721
-48.21,218204.460820305
-48.2,218204.812618889
-48.19,218205.164417473
-48.18,218205.516216056
-48.17,218205.86801464
-48.16,218206.219813224
-48.15,218206.571611808
-48.14,218206.923410391
-48.13,218207.277795801
-48.12,218207.632217914
-48.11,218207.986640027
-48.1,218208.341062141
-48.09,218208.695484254
-48.08,218209.049906368
-48.07,218209.404328481
-48.06,218209.758750594
-48.05,218210.113172708
-48.04,218210.468646314
-48.03,218210.825695745
-48.02,218211.182745177
-48.01,218211.539794608
-48,218211.89684404
-47.99,218212.253893471
-47.98,218212.610942903
-47.97,218212.967992334
-47.96,218213.325041766
-47.95,218213.682091197
-47.94,218214.04128329
-47.93,218214.400963623
-47.92,218214.760643957
-47.91,218215.12032429
-47.9,218215.480004623
-47.89,218215.839684956
-47.88,218216.199365289
-47.87,218216.559045622
-47.86,218216.918725955
-47.85,218217.279008555
-47.84,218217.641323166
-47.83,218218.003637777
-47.82,218218.365952389
-47.81,218218.728267
-47.8,218219.090581612
-47.79,218219.452896223
-47.78,218219.815210834
-47.77,218220.177525446
-47.76,218220.539840057
-47.75,218220.903850104
-47.74,218221.268802161
-47.73,218221.633754219
-47.72,218221.998706276
-47.71,218222.363658333
-47.7,218222.728610391
-47.69,218223.093562448
-47.68,218223.458514505
-47.67,218223.823466563
-47.66,218224.188569223
-47.65,218224.556161683
-47.64,218224.923754143
-47.63,218225.291346603
-47.62,218225.658939064
-47.61,218226.026531524
-47.6,218226.394123984
-47.59,218226.761716444
-47.58,218227.129308904
-47.57,218227.496901364
-47.56,218227.86573939
-47.55,218228.235974997
-47.54,218228.606210604
-47.53,218228.976446211
-47.52,218229.346681818
-47.51,218229.716917425
-47.5,218230.087153032
-47.49,218230.457388639
-47.48,218230.827624246
-47.47,218231.197859853
-47.46,218231.570438072
-47.45,218231.943319355
-47.44,218232.316200639
-47.43,218232.689081922
-47.42,218233.061963205
-47.41,218233.434844489
-47.4,218233.807725772
-47.39,218234.180607055
-47.38,218234.553488338
-47.37,218234.927163104
-47.36,218235.302692377
-47.35,218235.678221649
-47.34,218236.053750921
-47.33,218236.429280194
-47.32,218236.804809466
-47.31,218237.180338738
-47.3,218237.555868011
-47.29,218237.931397283
-47.28,218238.306926555
-47.27,218238.684347618
-47.26,218239.062526974
-47.25,218239.440706329
-47.24,218239.818885685
-47.23,218240.197065041
-47.22,218240.575244397
-47.21,218240.953423753
-47.2,218241.331603109
-47.19,218241.709782465
-47.18,218242.088301447
-47.17,218242.46913276
-47.16,218242.849964074
-47.15,218243.230795387
-47.14,218243.611626701
-47.13,218243.992458015
-47.12,218244.373289328
-47.11,218244.754120642
-47.1,218245.134951955
-47.09,218245.515783269
-47.08,218245.89805356
-47.07,218246.281538484
-47.06,218246.665023408
-47.05,218247.048508331
-47.04,218247.431993255
-47.03,218247.815478178
-47.02,218248.198963102
-47.01,218248.582448025
-47,218248.965932949
-46.99,218249.349417872
-46.98,218249.73544228
-46.97,218250.121582242
-46.96,218250.507722204
-46.95,218250.893862166
-46.94,218251.280002128
-46.93,218251.666142089
-46.92,218252.052282051
-46.91,218252.438422013
-46.9,218252.824561975
-46.89,218253.211686561
-46.88,218253.600482764
-46.87,218253.989278967
-46.86,218254.37807517
-46.85,218254.766871373
-46.84,218255.155667576
-46.83,218255.544463779
-46.82,218255.933259982
-46.81,218256.322056185
-46.8,218256.710852388
-46.79,218257.10173421
-46.78,218257.49318763
-46.77,218257.88464105
-46.76,218258.27609447
-46.75,218258.66754789
-46.74,218259.059001309
-46.73,218259.450454729
-46.72,218259.841908149
-46.71,218260.233361569
-46.7,218260.625344174
-46.69,218261.019455557
-46.68,218261.413566941
-46.67,218261.807678324
-46.66,218262.201789707
-46.65,218262.59590109
-46.64,218262.990012473
-46.63,218263.384123856
-46.62,218263.77823524
-46.61,218264.172346623
-46.6,218264.568088452
-46.59,218264.964858314
-46.58,218265.361628177
-46.57,218265.75839804
-46.56,218266.155167902
-46.55,218266.551937765
-46.54,218266.948707627
-46.53,218267.34547749
-46.52,218267.742247353
-46.51,218268.139090346
-46.5,218268.538518972
-46.49,218268.937947598
-46.48,218269.337376224
-46.47,218269.73680485
-46.46,218270.136233476
-46.45,218270.535662102
-46.44,218270.935090728
-46.43,218271.334519354
-46.42,218271.733947979
-46.41,218272.134551033
-46.4,218272.536638472
-46.39,218272.938725912
-46.38,218273.340813351
-46.37,218273.74290079
-46.36,218274.144988229
-46.35,218274.547075668
-46.34,218274.949163107
-46.33,218275.351250546
-46.32,218275.753337985
-46.31,218276.157700989
-46.3,218276.562447056
-46.29,218276.967193123
-46.28,218277.37193919
-46.27,218277.776685257
-46.26,218278.181431324
-46.25,218278.586177391
-46.24,218278.990923458
-46.23,218279.395669525
-46.22,218279.801133633
-46.21,218280.208537905
-46.2,218280.615942178
-46.19,218281.02334645
-46.18,218281.430750722
-46.17,218281.838154995
-46.16,218282.245559267
-46.15,218282.652963539
-46.14,218283.060367812
-46.13,218283.467772084
-46.12,218283.87699499
-46.11,218284.287056807
-46.1,218284.697118624
-46.09,218285.10718044
-46.08,218285.517242257
-46.07,218285.927304074
-46.06,218286.337365891
-46.05,218286.747427708
-46.04,218287.157489525
-46.03,218287.567813112
-46.02,218287.980531573
-46.01,218288.393250034
-46,218288.805968495
-45.99,218289.218686956
-45.98,218289.631405416
-45.97,218290.044123877
-45.96,218290.456842338
-45.95,218290.869560799
-45.94,218291.28227926
-45.93,218291.696359302
-45.92,218292.111733265
-45.91,218292.527107227
-45.9,218292.94248119
-45.89,218293.357855153
-45.88,218293.773229115
-45.87,218294.188603078
-45.86,218294.603977041
-45.85,218295.019351004
-45.84,218295.434724966
-45.83,218295.85255915
-45.82,218296.27058723
-45.81,218296.688615309
-45.8,218297.106643389
-45.79,218297.524671469
-45.78,218297.942699549
-45.77,218298.360727628
-45.76,218298.778755708
-45.75,218299.196783788
-45.74,218299.615716766
-45.73,218300.036397334
-45.72,218300.457077901
-45.71,218300.877758469
-45.7,218301.298439037
-45.69,218301.719119604
-45.68,218302.139800172
-45.67,218302.56048074
-45.66,218302.981161308
-45.65,218303.401841875
-45.64,218303.824524601
-45.63,218304.247855783
-45.62,218304.671186964
-45.61,218305.094518145
-45.6,218305.517849326
-45.59,218305.941180508
-45.58,218306.364511689
-45.57,218306.78784287
-45.56,218307.211174051
-45.55,218307.634954317
-45.54,218308.06093399
-45.53,218308.486913664
-45.52,218308.912893337
-45.51,218309.338873011
-45.5,218309.764852685
-45.49,218310.190832358
-45.48,218310.616812032
-45.47,218311.042791705
-45.46,218311.468771379
-45.45,218311.896295774
-45.44,218312.324921571
-45.43,218312.753547367
-45.42,218313.182173164
-45.41,218313.610798961
-45.4,218314.039424757
-45.39,218314.468050554
-45.38,218314.89667635
-45.37,218315.325302147
-45.36,218315.753927944
-45.35,218316.185191888
-45.34,218316.616461189
-45.33,218317.04773049
-45.32,218317.478999791
-45.31,218317.910269092
-45.3,218318.341538394
-45.29,218318.772807695
-45.28,218319.204076996
-45.27,218319.635346297
-45.26,218320.067704013
-45.25,218320.50161395
-45.24,218320.935523886
-45.23,218321.369433823
-45.22,218321.80334376
-45.21,218322.237253696
-45.2,218322.671163633
-45.19,218323.10507357
-45.18,218323.538983506
-45.17,218323.972893443
-45.16,218324.408982982
-45.15,218324.845530433
-45.14,218325.282077885
-45.13,218325.718625336
-45.12,218326.155172788
-45.11,218326.591720239
-45.1,218327.028267691
-45.09,218327.464815142
-45.08,218327.901362594
-45.07,218328.338543795
-45.06,218328.777725388
-45.05,218329.216906981
-45.04,218329.656088574
-45.03,218330.095270167
-45.02,218330.53445176
-45.01,218330.973633352
-45,218331.412814945
-44.99,218331.851996538
-44.98,218332.291178131
-44.97,218332.732082175
-44.96,218333.173894282
-44.95,218333.615706389
-44.94,218334.057518497
-44.93,218334.499330604
-44.92,218334.941142711
-44.91,218335.382954818
-44.9,218335.824766926
-44.89,218336.266579033
-44.88,218336.708572382
-44.87,218337.153011122
-44.86,218337.597449861
-44.85,218338.041888601
-44.84,218338.48632734
-44.83,218338.930766079
-44.82,218339.375204819
-44.81,218339.819643558
-44.8,218340.264082298
-44.79,218340.708521037
-44.78,218341.154226985
-44.77,218341.601288219
-44.76,218342.048349452
-44.75,218342.495410686
-44.74,218342.94247192
-44.73,218343.389533153
-44.72,218343.836594387
-44.71,218344.283655621
-44.7,218344.730716854
-44.69,218345.177778088
-44.68,218345.627188838
-44.67,218346.076868171
-44.66,218346.526547504
-44.65,218346.976226837
-44.64,218347.42590617
-44.63,218347.875585503
-44.62,218348.325264836
-44.61,218348.774944169
-44.6,218349.224623502
-44.59,218349.675117234
-44.58,218350.127410014
-44.57,218350.579702794
-44.56,218351.031995574
-44.55,218351.484288353
-44.54,218351.936581133
-44.53,218352.388873913
-44.52,218352.841166693
-44.51,218353.293459473
-44.5,218353.745752253
-44.49,218354.199938371
-44.48,218354.654839687
-44.47,218355.109741002
-44.46,218355.564642317
-44.45,218356.019543633
-44.44,218356.474444948
-44.43,218356.929346264
-44.42,218357.384247579
-44.41,218357.839148895
-44.4,218358.294414759
-44.39,218358.75191944
-44.38,218359.20942412
-44.37,218359.6669288
-44.36,218360.12443348
-44.35,218360.581938161
-44.34,218361.039442841
-44.33,218361.496947521
-44.32,218361.954452202
-44.31,218362.411956882
-44.3,218362.87090143
-44.29,218363.331004044
-44.28,218363.791106658
-44.27,218364.251209272
-44.26,218364.711311886
-44.25,218365.1714145
-44.24,218365.631517114
-44.23,218366.091619729
-44.22,218366.551722343
-44.21,218367.011824957
-44.2,218367.474438005
-44.19,218367.937132861
-44.18,218368.399827717
-44.17,218368.862522572
-44.16,218369.325217428
-44.15,218369.787912284
-44.14,218370.25060714
-44.13,218370.713301996
-44.12,218371.175996852
-44.11,218371.639681343
-44.1,218372.104962486
-44.09,218372.57024363
-44.08,218373.035524774
-44.07,218373.500805917
-44.06,218373.966087061
-44.05,218374.431368205
-44.04,218374.896649349
-44.03,218375.361930492
-44.02,218375.827211636
-44.01,218376.294548716
-44,218376.762409932
-43.99,218377.230271147
-43.98,218377.698132362
-43.97,218378.165993577
-43.96,218378.633854792
-43.95,218379.101716008
-43.94,218379.569577223
-43.93,218380.037438438
-43.92,218380.505842831
-43.91,218380.976277639
-43.9,218381.446712446
-43.89,218381.917147253
-43.88,218382.38758206
-43.87,218382.858016868
-43.86,218383.328451675
-43.85,218383.798886482
-43.84,218384.269321289
-43.83,218384.739756097
-43.82,218385.211795862
-43.81,218385.684797518
-43.8,218386.157799175
-43.79,218386.630800831
-43.78,218387.103802487
-43.77,218387.576804143
-43.76,218388.049805799
-43.75,218388.522807456
-43.74,218388.995809112
-43.73,218389.468911804
-43.72,218389.944473302
-43.71,218390.4200348
-43.7,218390.895596297
-43.69,218391.371157795
-43.68,218391.846719293
-43.67,218392.322280791
-43.66,218392.797842289
-43.65,218393.273403786
-43.64,218393.748965284
-43.63,218394.22568482
-43.62,218394.703798887
-43.61,218395.181912954
-43.6,218395.660027022
-43.59,218396.138141089
-43.58,218396.616255156
-43.57,218397.094369223
-43.56,218397.572483291
-43.55,218398.050597358
-43.54,218398.528711425
-43.53,218399.009034277
-43.52,218399.489693377
-43.51,218399.970352476
-43.5,218400.451011576
-43.49,218400.931670675
-43.48,218401.412329775
-43.47,218401.892988874
-43.46,218402.373647974
-43.45,218402.854307073
-43.44,218403.335681891
-43.43,218403.818878219
-43.42,218404.302074548
-43.41,218404.785270877
-43.4,218405.268467206
-43.39,218405.751663534
-43.38,218406.234859863
-43.37,218406.718056192
-43.36,218407.20125252
-43.35,218407.684448849
-43.34,218408.169406212
-43.33,218408.655131701
-43.32,218409.14085719
-43.31,218409.62658268
-43.3,218410.112308169
-43.29,218410.598033658
-43.28,218411.083759147
-43.27,218411.569484636
-43.26,218412.055210125
-43.25,218412.54121416
-43.24,218413.029460474
-43.23,218413.517706788
-43.22,218414.005953102
-43.21,218414.494199416
-43.2,218414.98244573
-43.19,218415.470692044
-43.18,218415.958938359
-43.17,218416.447184673
-43.16,218416.935430987
-43.15,218417.424995473
-43.14,218417.915754011
-43.13,218418.406512548
-43.12,218418.897271086
-43.11,218419.388029623
-43.1,218419.878788161
-43.09,218420.369546698
-43.08,218420.860305236
-43.07,218421.351063773
-43.06,218421.84182231
-43.05,218422.33493127
-43.04,218422.828193163
-43.03,218423.321455055
-43.02,218423.814716947
-43.01,218424.307978839
-43,218424.801240731
-42.99,218425.294502623
-42.98,218425.787764515
-42.97,218426.281026407
-42.96,218426.775169045
-42.95,218427.270925156
-42.94,218427.766681267
-42.93,218428.262437378
-42.92,218428.758193489
-42.91,218429.2539496
-42.9,218429.749705711
-42.89,218430.245461822
-42.88,218430.741217933
-42.87,218431.236974044
-42.86,218431.734636806
-42.85,218432.232877733
-42.84,218432.73111866
-42.83,218433.229359587
-42.82,218433.727600514
-42.81,218434.225841442
-42.8,218434.724082369
-42.79,218435.222323296
-42.78,218435.720564223
-42.77,218436.219254454
-42.76,218436.719970527
-42.75,218437.220686601
-42.74,218437.721402674
-42.73,218438.222118747
-42.72,218438.72283482
-42.71,218439.223550894
-42.7,218439.724266967
-42.69,218440.22498304
-42.68,218440.725699113
-42.67,218441.22788379
-42.66,218441.731065072
-42.65,218442.234246354
-42.64,218442.737427636
-42.63,218443.240608918
-42.62,218443.7437902
-42.61,218444.246971481
-42.6,218444.750152763
-42.59,218445.253334045
-42.58,218445.756539724
-42.57,218446.26217601
-42.56,218446.767812296
-42.55,218447.273448581
-42.54,218447.779084867
-42.53,218448.284721153
-42.52,218448.790357439
-42.51,218449.295993725
-42.5,218449.801630011
-42.49,218450.307266297
-42.48,218450.813939414
-42.47,218451.322020232
-42.46,218451.83010105
-42.45,218452.338181868
-42.44,218452.846262686
-42.43,218453.354343504
-42.42,218453.862424322
-42.41,218454.37050514
-42.4,218454.878585958
-42.39,218455.386666776
-42.38,218455.896787961
-42.37,218456.407302572
-42.36,218456.917817183
-42.35,218457.428331794
-42.34,218457.938846405
-42.33,218458.449361015
-42.32,218458.959875626
-42.31,218459.470390237
-42.3,218459.980904848
-42.29,218460.492031344
-42.28,218461.004968742
-42.27,218461.51790614
-42.26,218462.030843537
-42.25,218462.543780935
-42.24,218463.056718333
-42.23,218463.56965573
-42.22,218464.082593128
-42.21,218464.595530526
-42.2,218465.108467923
-42.19,218465.623013222
-42.18,218466.138362133
-42.17,218466.653711045
-42.16,218467.169059956
-42.15,218467.684408868
-42.14,218468.199757779
-42.13,218468.715106691
-42.12,218469.230455602
-42.11,218469.745804514
-42.1,218470.26134774
-42.09,218470.779096626
-42.08,218471.296845512
-42.07,218471.814594398
-42.06,218472.332343283
-42.05,218472.850092169
-42.04,218473.367841055
-42.03,218473.88558994
-42.02,218474.403338826
-42.01,218474.921087712
-42,218475.44001915
-41.99,218475.960156204
-41.98,218476.480293258
-41.97,218477.000430312
-41.96,218477.520567366
-41.95,218478.04070442
-41.94,218478.560841474
-41.93,218479.080978528
-41.92,218479.601115582
-41.91,218480.121252636
-41.9,218480.643550457
-41.89,218481.166063608
-41.88,218481.688576758
-41.87,218482.211089909
-41.86,218482.733603059
-41.85,218483.25611621
-41.84,218483.77862936
-41.83,218484.301142511
-41.82,218484.823655661
-41.81,218485.346933683
-41.8,218485.871810593
-41.79,218486.396687502
-41.78,218486.921564412
-41.77,218487.446441321
-41.76,218487.971318231
-41.75,218488.49619514
-41.74,218489.02107205
-41.73,218489.545948959
-41.72,218490.070825869
-41.71,218490.597437434
-41.7,218491.1246655
-41.69,218491.651893566
-41.68,218492.179121631
-41.67,218492.706349697
-41.66,218493.233577763
-41.65,218493.760805829
-41.64,218494.288033895
-41.63,218494.815261961
-41.62,218495.342845433
-41.61,218495.872411788
-41.6,218496.401978143
-41.59,218496.931544497
-41.58,218497.461110852
-41.57,218497.990677207
-41.56,218498.520243562
-41.55,218499.049809917
-41.54,218499.579376272
-41.53,218500.108942627
-41.52,218500.639825486
-41.51,218501.171716998
-41.5,218501.703608511
-41.49,218502.235500023
-41.48,218502.767391536
-41.47,218503.299283048
-41.46,218503.831174561
-41.45,218504.363066074
-41.44,218504.894957586
-41.43,218505.426849099
-41.42,218505.961007076
-41.41,218506.495210351
-41.4,218507.029413626
-41.39,218507.563616901
-41.38,218508.097820176
-41.37,218508.632023451
-41.36,218509.166226726
-41.35,218509.700430002
-41.34,218510.234633277
-41.33,218510.769743409
-41.32,218511.306244789
-41.31,218511.842746169
-41.3,218512.379247548
-41.29,218512.915748928
-41.28,218513.452250308
-41.27,218513.988751688
-41.26,218514.525253067
-41.25,218515.061754447
-41.24,218515.598255827
-41.23,218516.136604693
-41.22,218516.675390257
-41.21,218517.214175821
-41.2,218517.752961385
-41.19,218518.291746949
-41.18,218518.830532513
-41.17,218519.369318077
-41.16,218519.908103641
-41.15,218520.446889206
-41.14,218520.986181031
-41.13,218521.527236597
-41.12,218522.068292164
-41.11,218522.609347731
-41.1,218523.150403297
-41.09,218523.691458864
-41.08,218524.232514431
-41.07,218524.773569997
-41.06,218525.314625564
-41.05,218525.85568113
-41.04,218526.398174003
-41.03,218526.941485129
-41.02,218527.484796256
