"Time","Left.Thalamus.Proper"
-52.64,6559.61771580861
-52.63,6559.59783871217
-52.62,6559.57796161573
-52.61,6559.55808451929
-52.6,6559.53820742285
-52.59,6559.51833032641
-52.58,6559.49845322997
-52.57,6559.47857613353
-52.56,6559.45869903709
-52.55,6559.43882194065
-52.54,6559.41883908
-52.53,6559.39884856954
-52.52,6559.37885805908
-52.51,6559.35886754862
-52.5,6559.33887703816
-52.49,6559.3188865277
-52.48,6559.29889601724
-52.47,6559.27890550678
-52.46,6559.25891499632
-52.45,6559.23888502959
-52.44,6559.21878073207
-52.43,6559.19867643455
-52.42,6559.17857213703
-52.41,6559.15846783951
-52.4,6559.13836354199
-52.39,6559.11825924447
-52.38,6559.09815494695
-52.37,6559.07805064943
-52.36,6559.05794635191
-52.35,6559.03775518376
-52.34,6559.01753672712
-52.33,6558.99731827049
-52.32,6558.97709981386
-52.31,6558.95688135722
-52.3,6558.93666290059
-52.29,6558.91644444396
-52.28,6558.89622598732
-52.27,6558.87600753069
-52.26,6558.8557690122
-52.25,6558.83543602541
-52.24,6558.81510303862
-52.23,6558.79477005183
-52.22,6558.77443706504
-52.21,6558.75410407825
-52.2,6558.73377109146
-52.19,6558.71343810467
-52.18,6558.69310511788
-52.17,6558.67277213109
-52.16,6558.65237142533
-52.15,6558.63192353837
-52.14,6558.61147565141
-52.13,6558.59102776445
-52.12,6558.57057987749
-52.11,6558.55013199053
-52.1,6558.52968410357
-52.09,6558.50923621661
-52.08,6558.48878832965
-52.07,6558.46834003027
-52.06,6558.44777687418
-52.05,6558.42721371808
-52.04,6558.40665056199
-52.03,6558.3860874059
-52.02,6558.3655242498
-52.01,6558.34496109371
-52,6558.32439793762
-51.99,6558.30383478153
-51.98,6558.28327162543
-51.97,6558.26266015809
-51.96,6558.24198136497
-51.95,6558.22130257186
-51.94,6558.20062377874
-51.93,6558.17994498562
-51.92,6558.15926619251
-51.91,6558.13858739939
-51.9,6558.11790860627
-51.89,6558.09722981315
-51.88,6558.07655102004
-51.87,6558.05577571299
-51.86,6558.03498091605
-51.85,6558.01418611911
-51.84,6557.99339132217
-51.83,6557.97259652523
-51.82,6557.95180172828
-51.81,6557.93100693134
-51.8,6557.9102121344
-51.79,6557.88941733746
-51.78,6557.86859389095
-51.77,6557.8476827245
-51.76,6557.82677155805
-51.75,6557.8058603916
-51.74,6557.78494922515
-51.73,6557.7640380587
-51.72,6557.74312689226
-51.71,6557.72221572581
-51.7,6557.70130455936
-51.69,6557.68039339291
-51.68,6557.65940513523
-51.67,6557.63837723472
-51.66,6557.61734933422
-51.65,6557.59632143371
-51.64,6557.57529353321
-51.63,6557.5542656327
-51.62,6557.5332377322
-51.61,6557.51220983169
-51.6,6557.49118193119
-51.59,6557.47014529449
-51.58,6557.44900029653
-51.57,6557.42785529858
-51.56,6557.40671030062
-51.55,6557.38556530267
-51.54,6557.36442030471
-51.53,6557.34327530675
-51.52,6557.3221303088
-51.51,6557.30098531084
-51.5,6557.27984031289
-51.49,6557.25863789926
-51.48,6557.23737544164
-51.47,6557.21611298402
-51.46,6557.1948505264
-51.45,6557.17358806878
-51.44,6557.15232561116
-51.43,6557.13106315354
-51.42,6557.10980069592
-51.41,6557.0885382383
-51.4,6557.06727578068
-51.39,6557.04590692892
-51.38,6557.02452665062
-51.37,6557.00314637232
-51.36,6556.98176609402
-51.35,6556.96038581572
-51.34,6556.93900553742
-51.33,6556.91762525912
-51.32,6556.89624498082
-51.31,6556.87486470252
-51.3,6556.85344693464
-51.29,6556.83194847586
-51.28,6556.81045001709
-51.27,6556.78895155831
-51.26,6556.76745309954
-51.25,6556.74595464076
-51.24,6556.72445618199
-51.23,6556.70295772321
-51.22,6556.68145926444
-51.21,6556.65996080566
-51.2,6556.63837564403
-51.19,6556.61675864623
-51.18,6556.59514164842
-51.17,6556.57352465062
-51.16,6556.55190765282
-51.15,6556.53029065501
-51.14,6556.50867365721
-51.13,6556.48705665941
-51.12,6556.46543966161
-51.11,6556.44380534841
-51.1,6556.42206945429
-51.09,6556.40033356017
-51.08,6556.37859766605
-51.07,6556.35686177193
-51.06,6556.33512587781
-51.05,6556.31338998369
-51.04,6556.29165408957
-51.03,6556.26991819545
-51.02,6556.24818230133
-51.01,6556.22637964499
-51,6556.20452449855
-50.99,6556.18266935211
-50.98,6556.16081420567
-50.97,6556.13895905923
-50.96,6556.1171039128
-50.95,6556.09524876636
-50.94,6556.07339361992
-50.93,6556.05153847348
-50.92,6556.02968332704
-50.91,6556.0077116779
-50.9,6555.98573692445
-50.89,6555.963762171
-50.88,6555.94178741754
-50.87,6555.91981266409
-50.86,6555.89783791063
-50.85,6555.87586315718
-50.84,6555.85388840373
-50.83,6555.83191365027
-50.82,6555.80989232204
-50.81,6555.7877976082
-50.8,6555.76570289436
-50.79,6555.74360818053
-50.78,6555.72151346669
-50.77,6555.69941875286
-50.76,6555.67732403902
-50.75,6555.65522932519
-50.74,6555.63313461135
-50.73,6555.61103989751
-50.72,6555.58884863815
-50.71,6555.56663361191
-50.7,6555.54441858568
-50.69,6555.52220355944
-50.68,6555.49998853321
-50.67,6555.47777350697
-50.66,6555.45555848074
-50.65,6555.4333434545
-50.64,6555.41112842827
-50.63,6555.38888725885
-50.62,6555.36655156958
-50.61,6555.3442158803
-50.6,6555.32188019102
-50.59,6555.29954450174
-50.58,6555.27720881246
-50.57,6555.25487312319
-50.56,6555.23253743391
-50.55,6555.21020174463
-50.54,6555.18786605535
-50.53,6555.16545402325
-50.52,6555.14299732168
-50.51,6555.12054062011
-50.5,6555.09808391854
-50.49,6555.07562721696
-50.48,6555.05317051539
-50.47,6555.03071381382
-50.46,6555.00825711225
-50.45,6554.98580041068
-50.44,6554.96333823892
-50.43,6554.94076017723
-50.42,6554.91818211553
-50.41,6554.89560405383
-50.4,6554.87302599213
-50.39,6554.85044793043
-50.38,6554.82786986873
-50.37,6554.80529180704
-50.36,6554.78271374534
-50.35,6554.76013568364
-50.34,6554.73750172461
-50.33,6554.71480195639
-50.32,6554.69210218817
-50.31,6554.66940241995
-50.3,6554.64670265173
-50.29,6554.62400288351
-50.28,6554.60130311529
-50.27,6554.57860334707
-50.26,6554.55590357885
-50.25,6554.53320381062
-50.24,6554.51039743225
-50.23,6554.48757561257
-50.22,6554.46475379289
-50.21,6554.44193197321
-50.2,6554.41911015353
-50.19,6554.39628833385
-50.18,6554.37346651417
-50.17,6554.35064469449
-50.16,6554.32782287481
-50.15,6554.30496584322
-50.14,6554.28202162863
-50.13,6554.25907741404
-50.12,6554.23613319945
-50.11,6554.21318898486
-50.1,6554.19024477026
-50.09,6554.16730055567
-50.08,6554.14435634108
-50.07,6554.12141212649
-50.06,6554.0984679119
-50.05,6554.07543754872
-50.04,6554.05237059726
-50.03,6554.02930364581
-50.02,6554.00623669436
-50.01,6553.9831697429
-50,6553.96010279145
-49.99,6553.93703583999
-49.98,6553.91396888854
-49.97,6553.89090193708
-49.96,6553.86782069608
-49.95,6553.84463066734
-49.94,6553.8214406386
-49.93,6553.79825060986
-49.92,6553.77506058112
-49.91,6553.75187055238
-49.9,6553.72868052364
-49.89,6553.7054904949
-49.88,6553.68230046616
-49.87,6553.65911043742
-49.86,6553.63585496012
-49.85,6553.61254151522
-49.84,6553.58922807031
-49.83,6553.56591462541
-49.82,6553.54260118051
-49.81,6553.51928773561
-49.8,6553.49597429071
-49.79,6553.47266084581
-49.78,6553.44934740091
-49.77,6553.42603395601
-49.76,6553.40260362428
-49.75,6553.37916642591
-49.74,6553.35572922755
-49.73,6553.33229202918
-49.72,6553.30885483081
-49.71,6553.28541763244
-49.7,6553.26198043408
-49.69,6553.23854323571
-49.68,6553.21510603734
-49.67,6553.1916243258
-49.66,6553.16806303826
-49.65,6553.14450175071
-49.64,6553.12094046317
-49.63,6553.09737917562
