"Time","D15"
-46.17,0.13141128920378
-46.16,0.131410380482174
-46.15,0.131409471760568
-46.14,0.131408563038962
-46.13,0.131407654317356
-46.12,0.13140674559575
-46.11,0.131405836874144
-46.1,0.131404928152538
-46.09,0.131404019430932
-46.08,0.131403110709326
-46.07,0.13140220198772
-46.06,0.131401279703813
-46.05,0.131400340674097
-46.04,0.13139940164438
-46.03,0.131398462614664
-46.02,0.131397523584948
-46.01,0.131396584555232
-46,0.131395645525516
-45.99,0.1313947064958
-45.98,0.131393767466084
-45.97,0.131392828436368
-45.96,0.131391889406652
-45.95,0.131390940768662
-45.94,0.131389970551304
-45.93,0.131389000333945
-45.92,0.131388030116587
-45.91,0.131387059899229
-45.9,0.131386089681871
-45.89,0.131385119464513
-45.88,0.131384149247155
-45.87,0.131383179029797
-45.86,0.131382208812439
-45.85,0.131381238595081
-45.84,0.131380262965212
-45.83,0.13137926066005
-45.82,0.131378258354888
-45.81,0.131377256049726
-45.8,0.131376253744564
-45.79,0.131375251439401
-45.78,0.131374249134239
-45.77,0.131373246829077
-45.76,0.131372244523915
-45.75,0.131371242218753
-45.74,0.131370239913591
-45.73,0.131369236642036
-45.72,0.131368201327966
-45.71,0.131367166013896
-45.7,0.131366130699825
-45.69,0.131365095385755
-45.68,0.131364060071685
-45.67,0.131363024757614
-45.66,0.131361989443544
-45.65,0.131360954129473
-45.64,0.131359918815403
-45.63,0.131358883501333
-45.62,0.131357848187262
-45.61,0.131356782660799
-45.6,0.131355713395462
-45.59,0.131354644130126
-45.58,0.13135357486479
-45.57,0.131352505599454
-45.56,0.131351436334117
-45.55,0.131350367068781
-45.54,0.131349297803445
-45.53,0.131348228538109
-45.52,0.131347159272772
-45.51,0.131346090007436
-45.5,0.131344994539164
-45.49,0.131343890358641
-45.48,0.131342786178118
-45.47,0.131341681997596
-45.46,0.131340577817073
-45.45,0.13133947363655
-45.44,0.131338369456028
-45.43,0.131337265275505
-45.42,0.131336161094982
-45.41,0.13133505691446
-45.4,0.131333952733937
-45.39,0.131332826615314
-45.38,0.131331686533814
-45.37,0.131330546452313
-45.36,0.131329406370813
-45.35,0.131328266289312
-45.34,0.131327126207812
-45.33,0.131325986126311
-45.32,0.131324846044811
-45.31,0.131323705963311
-45.3,0.13132256588181
-45.29,0.13132142580031
-45.28,0.131320268309927
-45.27,0.13131909131948
-45.26,0.131317914329034
-45.25,0.131316737338588
-45.24,0.131315560348142
-45.23,0.131314383357696
-45.22,0.131313206367249
-45.21,0.131312029376803
-45.2,0.131310852386357
-45.19,0.131309675395911
-45.18,0.131308498405465
-45.17,0.131307308808908
-45.16,0.131306093879067
-45.15,0.131304878949227
-45.14,0.131303664019387
-45.13,0.131302449089546
-45.12,0.131301234159706
-45.11,0.131300019229866
-45.1,0.131298804300025
-45.09,0.131297589370185
-45.08,0.131296374440345
-45.07,0.131295159510504
-45.06,0.131293937060223
-45.05,0.131292683137759
-45.04,0.131291429215295
-45.03,0.13129017529283
-45.02,0.131288921370366
-45.01,0.131287667447902
-45,0.131286413525437
-44.99,0.131285159602973
-44.98,0.131283905680509
-44.97,0.131282651758044
-44.96,0.13128139783558
-44.95,0.131280141770755
-44.94,0.131278847779357
-44.93,0.131277553787959
-44.92,0.131276259796561
-44.91,0.131274965805163
-44.9,0.131273671813766
-44.89,0.131272377822368
-44.88,0.13127108383097
-44.87,0.131269789839572
-44.86,0.131268495848174
-44.85,0.131267201856776
-44.84,0.131265907865378
-44.83,0.131264576243168
-44.82,0.131263241083152
-44.81,0.131261905923136
-44.8,0.13126057076312
-44.79,0.131259235603104
-44.78,0.131257900443088
-44.77,0.131256565283073
-44.76,0.131255230123057
-44.75,0.131253894963041
-44.74,0.131252559803025
-44.73,0.131251224643009
-44.72,0.131249856720924
-44.71,0.131248479268939
-44.7,0.131247101816954
-44.69,0.131245724364969
-44.68,0.131244346912984
-44.67,0.131242969460999
-44.66,0.131241592009014
-44.65,0.131240214557029
-44.64,0.131238837105044
-44.63,0.131237459653059
-44.62,0.131236082201074
-44.61,0.131234677153739
-44.6,0.131233256262479
-44.59,0.131231835371219
-44.58,0.131230414479959
-44.57,0.131228993588699
-44.56,0.131227572697439
-44.55,0.131226151806179
-44.54,0.131224730914919
-44.53,0.131223310023659
-44.52,0.131221889132399
-44.51,0.131220468241139
-44.5,0.131219025229102
-44.49,0.131217559727023
-44.48,0.131216094224943
-44.47,0.131214628722864
-44.46,0.131213163220785
-44.45,0.131211697718705
-44.44,0.131210232216626
-44.43,0.131208766714547
-44.42,0.131207301212467
-44.41,0.131205835710388
-44.4,0.131204370208309
-44.39,0.131202888377915
-44.38,0.131201377068953
-44.37,0.131199865759992
-44.36,0.131198354451031
-44.35,0.131196843142069
-44.34,0.131195331833108
-44.33,0.131193820524147
-44.32,0.131192309215185
-44.31,0.131190797906224
-44.3,0.131189286597263
-44.29,0.131187775288301
-44.28,0.131186253771572
-44.27,0.131184695434873
-44.26,0.131183137098174
-44.25,0.131181578761475
-44.24,0.131180020424776
-44.23,0.131178462088077
-44.22,0.131176903751378
-44.21,0.131175345414679
-44.2,0.13117378707798
-44.19,0.13117222874128
-44.18,0.131170670404581
-44.17,0.131169108319093
-44.16,0.131167501708737
-44.15,0.131165895098382
-44.14,0.131164288488026
-44.13,0.131162681877671
-44.12,0.131161075267315
-44.11,0.13115946865696
-44.1,0.131157862046604
-44.09,0.131156255436249
-44.08,0.131154648825893
-44.07,0.131153042215537
-44.06,0.131151435605182
-44.05,0.131149782509042
-44.04,0.131148126353784
-44.03,0.131146470198526
