"Time","FAQ"
-52.64,1.02951818177899
-52.63,1.03011445550638
-52.62,1.03071072923376
-52.61,1.03130700296114
-52.6,1.03190327668853
-52.59,1.03249955041591
-52.58,1.0330958241433
-52.57,1.03369209787068
-52.56,1.03428837159806
-52.55,1.03488464532545
-52.54,1.03548091905283
-52.53,1.03607719278022
-52.52,1.0366734665076
-52.51,1.03727353317433
-52.5,1.03787364295962
-52.49,1.03847375274491
-52.48,1.0390738625302
-52.47,1.03967397231549
-52.46,1.04027408210077
-52.45,1.04087419188606
-52.44,1.04147430167135
-52.43,1.04207441145664
-52.42,1.04267452124193
-52.41,1.04327463102721
-52.4,1.0438747408125
-52.39,1.04447662023004
-52.38,1.04508058395105
-52.37,1.04568454767206
-52.36,1.04628851139306
-52.35,1.04689247511407
-52.34,1.04749643883507
-52.33,1.04810040255608
-52.32,1.04870436627709
-52.31,1.04930832999809
-52.3,1.0499122937191
-52.29,1.05051625744011
-52.28,1.05112022116111
-52.27,1.05172418488212
-52.26,1.05233174783198
-52.25,1.05293958339426
-52.24,1.05354741895654
-52.23,1.05415525451881
-52.22,1.05476309008109
-52.21,1.05537092564337
-52.2,1.05597876120565
-52.19,1.05658659676792
-52.18,1.0571944323302
-52.17,1.05780226789248
-52.16,1.05841010345476
-52.15,1.05901793901704
-52.14,1.05962733051498
-52.13,1.06023905585139
-52.12,1.0608507811878
-52.11,1.06146250652421
-52.1,1.06207423186063
-52.09,1.06268595719704
-52.08,1.06329768253345
-52.07,1.06390940786986
-52.06,1.06452113320627
-52.05,1.06513285854269
-52.04,1.0657445838791
-52.03,1.06635630921551
-52.02,1.06696803455192
-52.01,1.06758316126727
-52,1.06819879433756
-51.99,1.06881442740785
-51.98,1.06943006047814
-51.97,1.07004569354842
-51.96,1.07066132661871
-51.95,1.071276959689
-51.94,1.07189259275929
-51.93,1.07250822582957
-51.92,1.07312385889986
-51.91,1.07373949197015
-51.9,1.07435512504044
-51.89,1.07497209614542
-51.88,1.07559165493576
-51.87,1.07621121372611
-51.86,1.07683077251645
-51.85,1.07745033130679
-51.84,1.07806989009714
-51.83,1.07868944888748
-51.82,1.07930900767782
-51.81,1.07992856646817
-51.8,1.08054812525851
-51.79,1.08116768404885
-51.78,1.0817872428392
-51.77,1.08240680162954
-51.76,1.08302955978727
-51.75,1.08365306230985
-51.74,1.08427656483243
-51.73,1.08490006735501
-51.72,1.08552356987759
-51.71,1.08614707240017
-51.7,1.08677057492275
-51.69,1.08739407744533
-51.68,1.08801757996791
-51.67,1.08864108249049
-51.66,1.08926458501307
-51.65,1.08988808753565
-51.64,1.09051270596751
-51.63,1.09114017026006
-51.62,1.09176763455261
-51.61,1.09239509884517
-51.6,1.09302256313772
-51.59,1.09365002743027
-51.58,1.09427749172283
-51.57,1.09490495601538
-51.56,1.09553242030793
-51.55,1.09615988460049
-51.54,1.09678734889304
-51.53,1.09741481318559
-51.52,1.09804227747815
-51.51,1.09867273494345
-51.5,1.09930417906882
-51.49,1.09993562319419
-51.48,1.10056706731955
-51.47,1.10119851144492
-51.46,1.10182995557029
-51.45,1.10246139969566
-51.44,1.10309284382102
-51.43,1.10372428794639
-51.42,1.10435573207176
-51.41,1.10498717619713
-51.4,1.10561862032249
-51.39,1.10625095398801
-51.38,1.10688639603369
-51.37,1.10752183807936
-51.36,1.10815728012504
-51.35,1.10879272217072
-51.34,1.1094281642164
-51.33,1.11006360626207
-51.32,1.11069904830775
-51.31,1.11133449035343
-51.3,1.1119699323991
-51.29,1.11260537444478
-51.28,1.11324081649046
-51.27,1.11387625853614
-51.26,1.11451448335622
-51.25,1.1151539414339
-51.24,1.11579339951158
-51.23,1.11643285758925
-51.22,1.11707231566693
-51.21,1.11771177374461
-51.2,1.11835123182229
-51.19,1.11899068989997
-51.18,1.11963014797765
-51.17,1.12026960605533
-51.16,1.12090906413301
-51.15,1.12154852221069
-51.14,1.12218863919726
-51.13,1.12283213144237
-51.12,1.12347562368747
-51.11,1.12411911593258
-51.1,1.12476260817769
-51.09,1.1254061004228
-51.08,1.12604959266791
-51.07,1.12669308491302
-51.06,1.12733657715813
-51.05,1.12798006940323
-51.04,1.12862356164834
-51.03,1.12926705389345
-51.02,1.12991054613856
-51.01,1.13055660653618
-51,1.13120415110742
-50.99,1.13185169567865
-50.98,1.13249924024989
-50.97,1.13314678482113
-50.96,1.13379432939237
-50.95,1.1344418739636
-50.94,1.13508941853484
-50.93,1.13573696310608
-50.92,1.13638450767731
-50.91,1.13703205224855
-50.9,1.13767959681979
-50.89,1.13832756538897
-50.88,1.13897918046784
-50.87,1.13963079554671
-50.86,1.14028241062558
-50.85,1.14093402570445
-50.84,1.14158564078331
-50.83,1.14223725586218
-50.82,1.14288887094105
-50.81,1.14354048601992
-50.8,1.14419210109879
-50.79,1.14484371617766
-50.78,1.14549533125652
-50.77,1.14614694633539
-50.76,1.14680091070233
-50.75,1.14745661449266
-50.74,1.14811231828299
-50.73,1.14876802207332
-50.72,1.14942372586365
-50.71,1.15007942965398
-50.7,1.15073513344431
-50.69,1.15139083723465
-50.68,1.15204654102498
-50.67,1.15270224481531
-50.66,1.15335794860564
-50.65,1.15401365239597
-50.64,1.15466954097692
-50.63,1.1553293517044
-50.62,1.15598916243188
-50.61,1.15664897315935
-50.6,1.15730878388683
-50.59,1.15796859461431
-50.58,1.15862840534179
-50.57,1.15928821606927
-50.56,1.15994802679675
-50.55,1.16060783752422
-50.54,1.1612676482517
-50.53,1.16192745897918
-50.52,1.16258726970666
-50.51,1.16324920659708
-50.5,1.16391314250876
-50.49,1.16457707842045
-50.48,1.16524101433213
-50.47,1.16590495024381
-50.46,1.1665688861555
-50.45,1.16723282206718
-50.44,1.16789675797887
-50.43,1.16856069389055
-50.42,1.16922462980223
-50.41,1.16988856571392
-50.4,1.1705525016256
-50.39,1.17121643753728
-50.38,1.17188445817223
-50.37,1.17255253753606
-50.36,1.1732206168999
-50.35,1.17388869626373
-50.34,1.17455677562757
-50.33,1.1752248549914
-50.32,1.17589293435524
-50.31,1.17656101371907
-50.3,1.17722909308291
-50.29,1.17789717244675
-50.28,1.17856525181058
-50.27,1.17923333117441
-50.26,1.1799033092981
-50.25,1.18057555040243
-50.24,1.18124779150676
-50.23,1.18192003261109
-50.22,1.18259227371542
-50.21,1.18326451481976
-50.2,1.18393675592409
-50.19,1.18460899702842
-50.18,1.18528123813275
-50.17,1.18595347923708
-50.16,1.18662572034142
-50.15,1.18729796144575
-50.14,1.18797020255008
-50.13,1.18864631712769
-50.12,1.18932273828077
-50.11,1.18999915943385
-50.1,1.19067558058693
-50.09,1.19135200174001
-50.08,1.19202842289309
-50.07,1.19270484404618
-50.06,1.19338126519926
-50.05,1.19405768635234
-50.04,1.19473410750542
