"Time","MMSE"
-52.64,27.8008650834754
-52.63,27.8007286687332
-52.62,27.8005922539911
-52.61,27.800455839249
-52.6,27.8003194245068
-52.59,27.8001830097647
-52.58,27.8000465950225
-52.57,27.7999101802804
-52.56,27.7997737655382
-52.55,27.7996373507961
-52.54,27.7995009360539
-52.53,27.7993645213118
-52.52,27.7992281065696
-52.51,27.7990906413514
-52.5,27.7989531641913
-52.49,27.7988156870311
-52.48,27.798678209871
-52.47,27.7985407327109
-52.46,27.7984032555507
-52.45,27.7982657783906
-52.44,27.7981283012304
-52.43,27.7979908240703
-52.42,27.7978533469101
-52.41,27.79771586975
-52.4,27.7975783925899
-52.39,27.7974404244938
-52.38,27.797301878165
-52.37,27.7971633318362
-52.36,27.7970247855074
-52.35,27.7968862391786
-52.34,27.7967476928498
-52.33,27.796609146521
-52.32,27.7964706001922
-52.31,27.7963320538634
-52.3,27.7961935075346
-52.29,27.7960549612058
-52.28,27.795916414877
-52.27,27.7957778685482
-52.26,27.7956383220276
-52.25,27.7954986997505
-52.24,27.7953590774735
-52.23,27.7952194551965
-52.22,27.7950798329195
-52.21,27.7949402106424
-52.2,27.7948005883654
-52.19,27.7946609660884
-52.18,27.7945213438113
-52.17,27.7943817215343
-52.16,27.7942420992573
-52.15,27.7941024769803
-52.14,27.7939624215933
-52.13,27.7938217165596
-52.12,27.7936810115259
-52.11,27.7935403064922
-52.1,27.7933996014585
-52.09,27.7932588964248
-52.08,27.7931181913911
-52.07,27.7929774863574
-52.06,27.7928367813237
-52.05,27.79269607629
-52.04,27.7925553712563
-52.03,27.7924146662226
-52.02,27.7922739611888
-52.01,27.7921323077481
-52,27.7919905131204
-51.99,27.7918487184927
-51.98,27.791706923865
-51.97,27.7915651292372
-51.96,27.7914233346095
-51.95,27.7912815399818
-51.94,27.791139745354
-51.93,27.7909979507263
-51.92,27.7908561560986
-51.91,27.7907143614708
-51.9,27.7905725668431
-51.89,27.7904303985
-51.88,27.790287507412
-51.87,27.790144616324
-51.86,27.7900017252361
-51.85,27.7898588341481
-51.84,27.7897159430601
-51.83,27.7895730519721
-51.82,27.7894301608841
-51.81,27.7892872697961
-51.8,27.7891443787081
-51.79,27.7890014876201
-51.78,27.7888585965321
-51.77,27.7887157054441
-51.76,27.788571919255
-51.75,27.7884279248116
-51.74,27.7882839303682
-51.73,27.7881399359249
-51.72,27.7879959414815
-51.71,27.7878519470381
-51.7,27.7877079525947
-51.69,27.7875639581514
-51.68,27.787419963708
-51.67,27.7872759692646
-51.66,27.7871319748212
-51.65,27.7869879803779
-51.64,27.7868436732028
-51.63,27.78669856848
-51.62,27.7865534637573
-51.61,27.7864083590345
-51.6,27.7862632543117
-51.59,27.786118149589
-51.58,27.7859730448662
-51.57,27.7858279401434
-51.56,27.7856828354207
-51.55,27.7855377306979
-51.54,27.7853926259752
-51.53,27.7852475212524
-51.52,27.7851024165296
-51.51,27.7849564715532
-51.5,27.7848102495981
-51.49,27.7846640276431
-51.48,27.7845178056881
-51.47,27.7843715837331
-51.46,27.784225361778
-51.45,27.784079139823
-51.44,27.783932917868
-51.43,27.7837866959129
-51.42,27.7836404739579
-51.41,27.7834942520029
-51.4,27.7833480300478
-51.39,27.7832015579544
-51.38,27.7830542117853
-51.37,27.7829068656163
-51.36,27.7827595194473
-51.35,27.7826121732782
-51.34,27.7824648271092
-51.33,27.7823174809401
-51.32,27.7821701347711
-51.31,27.782022788602
-51.3,27.781875442433
-51.29,27.7817280962639
-51.28,27.7815807500949
-51.27,27.7814334039259
-51.26,27.7812852739127
-51.25,27.7811367965191
-51.24,27.7809883191254
-51.23,27.7808398417318
-51.22,27.7806913643381
-51.21,27.7805428869444
-51.2,27.7803944095508
-51.19,27.7802459321571
-51.18,27.7800974547635
-51.17,27.7799489773698
-51.16,27.7798004999762
-51.15,27.7796520225825
-51.14,27.7795033592738
-51.13,27.7793537436161
-51.12,27.7792041279584
-51.11,27.7790545123006
-51.1,27.7789048966429
-51.09,27.7787552809852
-51.08,27.7786056653275
-51.07,27.7784560496697
-51.06,27.778306434012
-51.05,27.7781568183543
-51.04,27.7780072026966
-51.03,27.7778575870388
-51.02,27.7777079713811
-51.01,27.7775576298716
-51,27.7774068688815
-50.99,27.7772561078915
-50.98,27.7771053469014
-50.97,27.7769545859113
-50.96,27.7768038249212
-50.95,27.7766530639312
-50.94,27.7765023029411
-50.93,27.776351541951
-50.92,27.7762007809609
-50.91,27.7760500199708
-50.9,27.7758992589808
-50.89,27.7757483779497
-50.88,27.7755964645302
-50.87,27.7754445511106
-50.86,27.7752926376911
-50.85,27.7751407242716
-50.84,27.774988810852
-50.83,27.7748368974325
-50.82,27.774684984013
-50.81,27.7745330705934
-50.8,27.7743811571739
-50.79,27.7742292437544
-50.78,27.7740773303348
-50.77,27.7739254169153
-50.76,27.7737728372395
-50.75,27.7736197642646
-50.74,27.7734666912897
-50.73,27.7733136183148
-50.72,27.7731605453399
-50.71,27.7730074723649
-50.7,27.77285439939
-50.69,27.7727013264151
-50.68,27.7725482534402
-50.67,27.7723951804653
-50.66,27.7722421074904
-50.65,27.7720890345155
-50.64,27.7719359090447
-50.63,27.7717816693597
-50.62,27.7716274296748
-50.61,27.7714731899898
-50.6,27.7713189503048
-50.59,27.7711647106198
-50.58,27.7710104709348
-50.57,27.7708562312498
-50.56,27.7707019915648
-50.55,27.7705477518798
-50.54,27.7703935121948
-50.53,27.7702392725098
-50.52,27.7700850328248
-50.51,27.7699301881029
-50.5,27.7697747745243
-50.49,27.7696193609457
