"Time","Right.Hippocampus"
-52.64,2987.0159104856
-52.63,2986.99896727269
-52.62,2986.98202405977
-52.61,2986.96508084686
-52.6,2986.94813763395
-52.59,2986.93119442104
-52.58,2986.91425120812
-52.57,2986.89730799521
-52.56,2986.8803647823
-52.55,2986.86342156939
-52.54,2986.84641351485
-52.53,2986.82940077039
-52.52,2986.81238802592
-52.51,2986.79537528146
-52.5,2986.77836253699
-52.49,2986.76134979253
-52.48,2986.74433704807
-52.47,2986.7273243036
-52.46,2986.71031155914
-52.45,2986.69327465945
-52.44,2986.67619225426
-52.43,2986.65910984908
-52.42,2986.64202744389
-52.41,2986.6249450387
-52.4,2986.60786263352
-52.39,2986.59078022833
-52.38,2986.57369782314
-52.37,2986.55661541796
-52.36,2986.53953301277
-52.35,2986.52239750077
-52.34,2986.50524530644
-52.33,2986.4880931121
-52.32,2986.47094091777
-52.31,2986.45378872344
-52.3,2986.4366365291
-52.29,2986.41948433477
-52.28,2986.40233214044
-52.27,2986.3851799461
-52.26,2986.36801550468
-52.25,2986.35079339353
-52.24,2986.33357128238
-52.23,2986.31634917123
-52.22,2986.29912706008
-52.21,2986.28190494893
-52.2,2986.26468283779
-52.19,2986.24746072664
-52.18,2986.23023861549
-52.17,2986.21301650434
-52.16,2986.19575311136
-52.15,2986.17846095649
-52.14,2986.16116880161
-52.13,2986.14387664674
-52.12,2986.12658449186
-52.11,2986.10929233699
-52.1,2986.09200018212
-52.09,2986.07470802724
-52.08,2986.05741587237
-52.07,2986.04012346643
-52.06,2986.02276114169
-52.05,2986.00539881695
-52.04,2985.98803649221
-52.03,2985.97067416746
-52.02,2985.95331184272
-52.01,2985.93594951798
-52,2985.91858719324
-51.99,2985.9012248685
-51.98,2985.88386254376
-51.97,2985.86647085082
-51.96,2985.84903823085
-51.95,2985.83160561087
-51.94,2985.81417299089
-51.93,2985.79674037092
-51.92,2985.77930775094
-51.91,2985.76187513096
-51.9,2985.74444251099
-51.89,2985.72700989101
-51.88,2985.70957727103
-51.87,2985.69208606252
-51.86,2985.67458302272
-51.85,2985.65707998292
-51.84,2985.63957694312
-51.83,2985.62207390332
-51.82,2985.60457086352
-51.81,2985.58706782372
-51.8,2985.56956478392
-51.79,2985.55206174412
-51.78,2985.53454133684
-51.77,2985.51696775342
-51.76,2985.49939417
-51.75,2985.48182058657
-51.74,2985.46424700315
-51.73,2985.44667341972
-51.72,2985.4290998363
-51.71,2985.41152625287
-51.7,2985.39395266945
-51.69,2985.37637908603
-51.68,2985.35875883432
-51.67,2985.34111458427
-51.66,2985.32347033421
-51.65,2985.30582608415
-51.64,2985.2881818341
-51.63,2985.27053758404
-51.62,2985.25289333399
-51.61,2985.23524908393
-51.6,2985.21760483388
-51.59,2985.19995530254
-51.58,2985.18224026364
-51.57,2985.16452522475
-51.56,2985.14681018585
-51.55,2985.12909514696
-51.54,2985.11138010806
-51.53,2985.09366506917
-51.52,2985.07595003027
-51.51,2985.05823499138
-51.5,2985.04051995248
-51.49,2985.02277025182
-51.48,2985.00498430269
-51.47,2984.98719835355
-51.46,2984.96941240442
-51.45,2984.95162645528
-51.44,2984.93384050615
-51.43,2984.91605455701
-51.42,2984.89826860788
-51.41,2984.88048265874
-51.4,2984.86269670961
-51.39,2984.8448466184
