"Time","Right.Cerebellum.Exterior"
-50.18,49629.6323474361
-50.17,49628.8231018227
-50.16,49628.0138562093
-50.15,49627.208542391
-50.14,49626.4129635099
-50.13,49625.6173846288
-50.12,49624.8218057476
-50.11,49624.0262268665
-50.1,49623.2306479854
-50.09,49622.4350691042
-50.08,49621.6394902231
-50.07,49620.843911342
-50.06,49620.0483324609
-50.05,49619.262163443
-50.04,49618.4799909003
-50.03,49617.6978183576
-50.02,49616.9156458149
-50.01,49616.1334732722
-50,49615.3513007295
-49.99,49614.5691281868
-49.98,49613.7869556441
-49.97,49613.0047831014
-49.96,49612.2241374586
-49.95,49611.4551162541
-49.94,49610.6860950497
-49.93,49609.9170738452
-49.92,49609.1480526408
-49.91,49608.3790314364
-49.9,49607.6100102319
-49.89,49606.8409890275
-49.88,49606.071967823
-49.87,49605.3029466186
-49.86,49604.5407672409
-49.85,49603.7846476487
-49.84,49603.0285280565
-49.83,49602.2724084643
-49.82,49601.516288872
-49.81,49600.7601692798
-49.8,49600.0040496876
-49.79,49599.2479300953
-49.78,49598.4918105031
-49.77,49597.7356909109
-49.76,49596.9915260678
-49.75,49596.2480635193
-49.74,49595.5046009707
-49.73,49594.7611384221
-49.72,49594.0176758735
-49.71,49593.2742133249
-49.7,49592.5307507763
-49.69,49591.7872882278
-49.68,49591.0438256792
-49.67,49590.3048175329
-49.66,49589.5737725029
-49.65,49588.8427274729
-49.64,49588.1116824429
-49.63,49587.3806374129
-49.62,49586.6495923829
-49.61,49585.9185473529
-49.6,49585.1875023229
-49.59,49584.456457293
-49.58,49583.725412263
-49.57,49583.003783719
-49.56,49582.2849216148
-49.55,49581.5660595105
-49.54,49580.8471974063
-49.53,49580.1283353021
-49.52,49579.4094731978
-49.51,49578.6906110936
-49.5,49577.9717489893
-49.49,49577.2528868851
-49.48,49576.536261581
-49.47,49575.8293526332
-49.46,49575.1224436854
-49.45,49574.4155347377
-49.44,49573.7086257899
-49.43,49573.0017168421
-49.42,49572.2948078943
-49.41,49571.5878989465
-49.4,49570.8809899987
-49.39,49570.1740810509
-49.38,49569.4742246364
-49.37,49568.7790437932
-49.36,49568.0838629499
-49.35,49567.3886821067
-49.34,49566.6935012634
-49.33,49565.9983204202
-49.32,49565.3031395769
-49.31,49564.6079587337
-49.3,49563.9127778905
-49.29,49563.2177758971
-49.28,49562.5341027202
-49.27,49561.8504295433
-49.26,49561.1667563664
-49.25,49560.4830831895
-49.24,49559.7994100125
-49.23,49559.1157368356
-49.22,49558.4320636587
-49.21,49557.7483904818
-49.2,49557.0647173049
-49.19,49556.3858967248
-49.18,49555.7135152884
-49.17,49555.041133852
-49.16,49554.3687524157
-49.15,49553.6963709793
-49.14,49553.0239895429
-49.13,49552.3516081066
-49.12,49551.6792266702
-49.11,49551.0068452339
-49.1,49550.3344637975
-49.09,49549.6714335543
-49.08,49549.0101323462
-49.07,49548.3488311381
-49.06,49547.6875299301
-49.05,49547.026228722
-49.04,49546.3649275139
-49.03,49545.7036263059
-49.02,49545.0423250978
-49.01,49544.3810238898
-49,49543.7225296504
-48.99,49543.0721014753
-48.98,49542.4216733002
-48.97,49541.7712451251
-48.96,49541.12081695
-48.95,49540.4703887749
-48.94,49539.8199605997
-48.93,49539.1695324246
-48.92,49538.5191042495
-48.91,49537.8686760744
-48.9,49537.225422068
-48.89,49536.585663953
-48.88,49535.945905838
-48.87,49535.306147723
-48.86,49534.666389608
-48.85,49534.026631493
-48.84,49533.3868733781
-48.83,49532.7471152631
-48.82,49532.1073571481
-48.81,49531.4685055271
-48.8,49530.8392186297
-48.79,49530.2099317323
-48.78,49529.580644835
-48.77,49528.9513579376
-48.76,49528.3220710403
-48.75,49527.6927841429
-48.74,49527.0634972455
-48.73,49526.4342103482
-48.72,49525.8049234508
-48.71,49525.1807827327
-48.7,49524.5617722508
-48.69,49523.9427617688
-48.68,49523.3237512868
-48.67,49522.7047408049
-48.66,49522.0857303229
-48.65,49521.466719841
-48.64,49520.847709359
-48.63,49520.2286988771
-48.62,49519.6096883951
-48.61,49518.9999060176
-48.6,49518.3909811011
-48.59,49517.7820561847
-48.58,49517.1731312682
-48.57,49516.5642063517
-48.56,49515.9552814352
-48.55,49515.3463565187
-48.54,49514.7374316022
-48.53,49514.1285066857
-48.52,49513.5228402539
-48.51,49512.9238139193
-48.5,49512.3247875847
-48.49,49511.7257612501
-48.48,49511.1267349155
-48.47,49510.5277085809
-48.46,49509.9286822463
-48.45,49509.3296559117
-48.44,49508.7306295771
-48.43,49508.1316032425
-48.42,49507.5397992507
-48.41,49506.9504882967
-48.4,49506.3611773428
-48.39,49505.7718663888
-48.38,49505.1825554349
-48.37,49504.593244481
-48.36,49504.003933527
-48.35,49503.4146225731
-48.34,49502.8253116191
-48.33,49502.2375035038
-48.32,49501.6577284297
-48.31,49501.0779533555
-48.3,49500.4981782813
-48.29,49499.9184032072
-48.28,49499.338628133
-48.27,49498.7588530588
-48.26,49498.1790779847
-48.25,49497.5993029105
-48.24,49497.0195278364
-48.23,49496.4451048468
-48.22,49495.8746897718
-48.21,49495.3042746967
-48.2,49494.7338596216
-48.19,49494.1634445465
-48.18,49493.5930294714
-48.17,49493.0226143963
-48.16,49492.4521993212
-48.15,49491.8817842461
-48.14,49491.311369171
-48.13,49490.7500132174
-48.12,49490.1887858025
-48.11,49489.6275583877
-48.1,49489.0663309728
-48.09,49488.505103558
-48.08,49487.9438761432
-48.07,49487.3826487283
-48.06,49486.8214213135
-48.05,49486.2601938986
-48.04,49485.70257594
-48.03,49485.150367312
-48.02,49484.5981586839
-48.01,49484.0459500558
-48,49483.4937414277
-47.99,49482.9415327997
-47.98,49482.3893241716
-47.97,49481.8371155435
-47.96,49481.2849069155
-47.95,49480.7326982874
-47.94,49480.1876999753
-47.93,49479.6443446511
-47.92,49479.100989327
-47.91,49478.5576340028
-47.9,49478.0142786786
-47.89,49477.4709233544
-47.88,49476.9275680303
-47.87,49476.3842127061
-47.86,49475.8408573819
-47.85,49475.299489083
-47.84,49474.7648248974
-47.83,49474.2301607118
-47.82,49473.6954965262
-47.81,49473.1608323406
-47.8,49472.626168155
-47.79,49472.0915039694
-47.78,49471.5568397838
-47.77,49471.0221755982
-47.76,49470.4875114126
-47.75,49469.9583320126
-47.74,49469.4322000464
-47.73,49468.9060680802
-47.72,49468.379936114
-47.71,49467.8538041478
-47.7,49467.3276721815
-47.69,49466.8015402153
-47.68,49466.2754082491
-47.67,49465.7492762829
-47.66,49465.2236220932
-47.65,49464.7058666036
-47.64,49464.188111114
-47.63,49463.6703556244
-47.62,49463.1526001349
-47.61,49462.6348446453
-47.6,49462.1170891557
-47.59,49461.5993336661
-47.58,49461.0815781765
-47.57,49460.563822687
-47.56,49460.0499426298
-47.55,49459.5404109823
-47.54,49459.0308793348
-47.53,49458.5213476874
-47.52,49458.0118160399
-47.51,49457.5022843924
-47.5,49456.9927527449
-47.49,49456.4832210975
-47.48,49455.97368945
-47.47,49455.4641578025
-47.46,49454.9617754924
-47.45,49454.4603180942
-47.44,49453.9588606959
-47.43,49453.4574032977
-47.42,49452.9559458994
-47.41,49452.4544885012
-47.4,49451.9530311029
-47.39,49451.4515737046
-47.38,49450.9501163064
-47.37,49450.4510344617
-47.36,49449.9575046963
-47.35,49449.4639749309
-47.34,49448.9704451655
-47.33,49448.4769154001
-47.32,49447.9833856347
-47.31,49447.4898558693
-47.3,49446.9963261039
-47.29,49446.5027963385
-47.28,49446.0092665731
-47.27,49445.5212934474
-47.26,49445.0355476114
-47.25,49444.5498017754
-47.24,49444.0640559394
-47.23,49443.5783101035
-47.22,49443.0925642675
-47.21,49442.6068184315
-47.2,49442.1210725955
-47.19,49441.6353267596
-47.18,49441.1505597429
-47.17,49440.6724569837
-47.16,49440.1943542244
-47.15,49439.7162514651
-47.14,49439.2381487059
-47.13,49438.7600459466
-47.12,49438.2819431874
-47.11,49437.8038404281
-47.1,49437.3257376688
-47.09,49436.8476349096
-47.08,49436.3736019077
-47.07,49435.9030041624
-47.06,49435.4324064172
-47.05,49434.9618086719
-47.04,49434.4912109266
-47.03,49434.0206131813
-47.02,49433.550015436
-47.01,49433.0794176908
-47,49432.6088199455
-46.99,49432.1382222002
-46.98,49431.6746733894
-46.97,49431.2114453259
-46.96,49430.7482172625
-46.95,49430.2849891991
-46.94,49429.8217611356
-46.93,49429.3585330722
-46.92,49428.8953050087
-46.91,49428.4320769453
-46.9,49427.9688488818
-46.89,49427.5083034602
-46.88,49427.052312419
-46.87,49426.5963213777
-46.86,49426.1403303365
-46.85,49425.6843392953
-46.84,49425.228348254
-46.83,49424.7723572128
-46.82,49424.3163661716
-46.81,49423.8603751303
-46.8,49423.4043840891
-46.79,49422.9539712352
-46.78,49422.5050871724
-46.77,49422.0562031095
-46.76,49421.6073190466
-46.75,49421.1584349838
-46.74,49420.7095509209
-46.73,49420.2606668581
-46.72,49419.8117827952
-46.71,49419.3628987324
-46.7,49418.9154042478
-46.69,49418.4734996799
-46.68,49418.0315951119
-46.67,49417.5896905439
-46.66,49417.1477859759
-46.65,49416.7058814079
-46.64,49416.2639768399
-46.63,49415.8220722719
-46.62,49415.3801677039
-46.61,49414.938263136
-46.6,49414.5005624439
-46.59,49414.0655123934
-46.58,49413.6304623429
-46.57,49413.1954122924
-46.56,49412.7603622419
-46.55,49412.3253121914
-46.54,49411.8902621409
-46.53,49411.4552120903
-46.52,49411.0201620398
-46.51,49410.5852971575
-46.5,49410.1569791002
-46.49,49409.728661043
-46.48,49409.3003429857
-46.47,49408.8720249284
-46.46,49408.4437068711
-46.45,49408.0153888138
-46.44,49407.5870707565
-46.43,49407.1587526992
-46.42,49406.7304346419
-46.41,49406.3050371228
-46.4,49405.8833309358
-46.39,49405.4616247488
-46.38,49405.0399185618
-46.37,49404.6182123748
-46.36,49404.1965061877
-46.35,49403.7748000007
-46.34,49403.3530938137
-46.33,49402.9313876267
-46.32,49402.5096814397
-46.31,49402.0935336616
-46.3,49401.6783215726
-46.29,49401.2631094836
-46.28,49400.8478973946
-46.27,49400.4326853056
-46.26,49400.0174732166
-46.25,49399.6022611276
-46.24,49399.1870490386
-46.23,49398.7718369496
-46.22,49398.3583478722
-46.21,49397.9495144102
-46.2,49397.5406809481
-46.19,49397.131847486
-46.18,49396.7230140239
-46.17,49396.3141805619
-46.16,49395.9053470998
-46.15,49395.4965136377
-46.14,49395.0876801756
-46.13,49394.6788467135
-46.12,49394.274300848
-46.11,49393.8717327945
-46.1,49393.4691647411
-46.09,49393.0665966876
-46.08,49392.6640286341
-46.07,49392.2614605807
-46.06,49391.8588925272
-46.05,49391.4563244738
-46.04,49391.0537564203
-46.03,49390.6517947838
-46.02,49390.2553811262
-46.01,49389.8589674685
-46,49389.4625538108
-45.99,49389.0661401531
-45.98,49388.6697264954
-45.97,49388.2733128377
-45.96,49387.8768991801
-45.95,49387.4804855224
-45.94,49387.0840718647
-45.93,49386.6907579959
-45.92,49386.3003898804
-45.91,49385.9100217648
-45.9,49385.5196536493
-45.89,49385.1292855337
-45.88,49384.7389174182
-45.87,49384.3485493026
-45.86,49383.9581811871
-45.85,49383.5678130715
-45.84,49383.177444956
-45.83,49382.7925817852
-45.82,49382.4081524722
-45.81,49382.0237231591
-45.8,49381.639293846
-45.79,49381.2548645329
-45.78,49380.8704352198
-45.77,49380.4860059067
-45.76,49380.1015765936
-45.75,49379.7171472805
-45.74,49379.3347082871
-45.73,49378.9561131066
-45.72,49378.577517926
-45.71,49378.1989227455
-45.7,49377.8203275649
-45.69,49377.4417323844
-45.68,49377.0631372038
-45.67,49376.6845420233
-45.66,49376.3059468428
-45.65,49375.9273516622
-45.64,49375.5530857996
-45.63,49375.1802221083
-45.62,49374.8073584169
-45.61,49374.4344947255
-45.6,49374.0616310341
-45.59,49373.6887673427
-45.58,49373.3159036513
-45.57,49372.9430399599
-45.56,49372.5701762685
-45.55,49372.1982673531
-45.54,49371.8310344917
-45.53,49371.4638016303
-45.52,49371.0965687689
-45.51,49370.7293359075
-45.5,49370.3621030461
-45.49,49369.9948701847
-45.48,49369.6276373233
-45.47,49369.2604044619
-45.46,49368.8931716005
-45.45,49368.5291682093
-45.44,49368.1674674616
-45.43,49367.805766714
-45.42,49367.4440659663
-45.41,49367.0823652186
-45.4,49366.7206644709
-45.39,49366.3589637232
-45.38,49365.9972629756
-45.37,49365.6355622279
-45.36,49365.2738614802
-45.35,49364.917585018
-45.34,49364.5613195702
-45.33,49364.2050541225
-45.32,49363.8487886747
-45.31,49363.492523227
-45.3,49363.1362577793
-45.29,49362.7799923315
-45.28,49362.4237268838
-45.27,49362.0674614361
-45.26,49361.713397169
-45.25,49361.3624720704
-45.24,49361.0115469717
-45.23,49360.6606218731
-45.22,49360.3096967745
-45.21,49359.9587716759
-45.2,49359.6078465772
-45.19,49359.2569214786
-45.18,49358.90599638
-45.17,49358.5550712814
-45.16,49358.2084824078
-45.15,49357.8628045318
-45.14,49357.5171266557
-45.13,49357.1714487796
-45.12,49356.8257709036
-45.11,49356.4800930275
-45.1,49356.1344151515
-45.09,49355.7887372754
-45.08,49355.4430593994
-45.07,49355.0986219795
-45.06,49354.758099986
-45.05,49354.4175779924
-45.04,49354.0770559989
-45.03,49353.7365340054
-45.02,49353.3960120118
-45.01,49353.0554900183
-45,49352.7149680247
-44.99,49352.3744460312
-44.98,49352.0339240376
-44.97,49351.6967194325
-44.96,49351.3612637309
-44.95,49351.0258080294
-44.94,49350.6903523279
-44.93,49350.3548966263
-44.92,49350.0194409248
-44.91,49349.6839852232
-44.9,49349.3485295217
-44.89,49349.0130738201
-44.88,49348.6779616381
-44.87,49348.3474843514
-44.86,49348.0170070647
-44.85,49347.686529778
-44.84,49347.3560524913
-44.83,49347.0255752046
-44.82,49346.6950979179
-44.81,49346.3646206312
-44.8,49346.0341433445
-44.79,49345.7036660578
-44.78,49345.3755527261
-44.77,49345.0499676551
-44.76,49344.7243825841
-44.75,49344.3987975131
-44.74,49344.0732124421
-44.73,49343.7476273711
-44.72,49343.4220423001
-44.71,49343.0964572291
-44.7,49342.7708721581
-44.69,49342.4452870871
-44.68,49342.1240164731
-44.67,49341.8032390622
-44.66,49341.4824616512
-44.65,49341.1616842402
-44.64,49340.8409068292
-44.63,49340.5201294182
-44.62,49340.1993520072
-44.61,49339.8785745962
-44.6,49339.5577971852
-44.59,49339.2384920836
-44.58,49338.9224393865
-44.57,49338.6063866895
-44.56,49338.2903339924
-44.55,49337.9742812953
-44.54,49337.6582285982
-44.53,49337.3421759011
-44.52,49337.0261232041
-44.51,49336.710070507
-44.5,49336.3940178099
-44.49,49336.0813353654
-44.48,49335.7699260126
-44.47,49335.4585166599
-44.46,49335.1471073071
-44.45,49334.8356979544
-44.44,49334.5242886017
-44.43,49334.2128792489
-44.42,49333.9014698962
-44.41,49333.5900605434
-44.4,49333.2792902204
-44.39,49332.9724443866
-44.38,49332.6655985528
-44.37,49332.358752719
-44.36,49332.0519068852
-44.35,49331.7450610514
-44.34,49331.4382152176
-44.33,49331.1313693838
-44.32,49330.82452355
-44.31,49330.5176777162
-44.3,49330.2133177437
-44.29,49329.910957116
-44.28,49329.6085964882
-44.27,49329.3062358605
-44.26,49329.0038752328
-44.25,49328.701514605
-44.24,49328.3991539773
-44.23,49328.0967933496
-44.22,49327.7944327218
-44.21,49327.4920720941
-44.2,49327.1939807187
-44.19,49326.8960284657
-44.18,49326.5980762128
-44.17,49326.3001239598
-44.16,49326.0021717068
-44.15,49325.7042194538
-44.14,49325.4062672008
-44.13,49325.1083149478
-44.12,49324.8103626948
-44.11,49324.5140684493
-44.1,49324.220449191
-44.09,49323.9268299327
-44.08,49323.6332106744
-44.07,49323.3395914161
-44.06,49323.0459721579
-44.05,49322.7523528996
-44.04,49322.4587336413
-44.03,49322.165114383
-44.02,49321.8714951248
-44.01,49321.5812696908
-44,49321.2919094689
-43.99,49321.0025492469
-43.98,49320.713189025
-43.97,49320.423828803
-43.96,49320.1344685811
-43.95,49319.8451083591
-43.94,49319.5557481372
-43.93,49319.2663879152
-43.92,49318.9779112826
-43.91,49318.6927375313
-43.9,49318.4075637799
-43.89,49318.1223900286
-43.88,49317.8372162772
-43.87,49317.5520425259
-43.86,49317.2668687745
-43.85,49316.9816950232
-43.84,49316.6965212718
-43.83,49316.4113475205
-43.82,49316.1287468986
-43.81,49315.8476884165
-43.8,49315.5666299344
-43.79,49315.2855714522
-43.78,49315.0045129701
-43.77,49314.723454488
-43.76,49314.4423960058
-43.75,49314.1613375237
-43.74,49313.8802790416
-43.73,49313.5993802299
-43.72,49313.3223671522
-43.71,49313.0453540745
-43.7,49312.7683409968
-43.69,49312.491327919
-43.68,49312.2143148413
-43.67,49311.9373017636
-43.66,49311.6602886859
-43.65,49311.3832756082
-43.64,49311.1062625304
-43.63,49310.8310536507
-43.62,49310.558017422
-43.61,49310.2849811934
-43.6,49310.0119449647
-43.59,49309.738908736
-43.58,49309.4658725073
-43.57,49309.1928362787
-43.56,49308.91980005
-43.55,49308.6467638213
-43.54,49308.3737275927
-43.53,49308.1040844109
-43.52,49307.8349577588
-43.51,49307.5658311067
-43.5,49307.2967044547
-43.49,49307.0275778026
-43.48,49306.7584511505
-43.47,49306.4893244985
-43.46,49306.2201978464
-43.45,49305.9510711943
-43.44,49305.6830287592
-43.43,49305.4177456682
-43.42,49305.1524625772
-43.41,49304.8871794862
-43.4,49304.6218963952
-43.39,49304.3566133042
-43.38,49304.0913302132
-43.37,49303.8260471223
-43.36,49303.5607640313
-43.35,49303.2954809403
-43.34,49303.0328289823
-43.33,49302.7713246684
-43.32,49302.5098203545
-43.31,49302.2483160406
-43.3,49301.9868117267
-43.29,49301.7253074128
-43.28,49301.4638030989
-43.27,49301.202298785
-43.26,49300.9407944711
-43.25,49300.6797006788
-43.24,49300.4219115646
-43.23,49300.1641224505
-43.22,49299.9063333363
-43.21,49299.6485442221
-43.2,49299.390755108
-43.19,49299.1329659938
-43.18,49298.8751768796
-43.17,49298.6173877655
-43.16,49298.3595986513
-43.15,49298.1037261766
-43.14,49297.8495898671
-43.13,49297.5954535577
-43.12,49297.3413172482
-43.11,49297.0871809388
-43.1,49296.8330446293
-43.09,49296.5789083199
-43.08,49296.3247720104
-43.07,49296.0706357009
-43.06,49295.8164993915
-43.05,49295.5657352383
-43.04,49295.3151904971
-43.03,49295.0646457558
-43.02,49294.8141010146
-43.01,49294.5635562733
-43,49294.3130115321
-42.99,49294.0624667908
-42.98,49293.8119220496
-42.97,49293.5613773084
-42.96,49293.3120795804
-42.95,49293.0650663061
-42.94,49292.8180530318
-42.93,49292.5710397574
-42.92,49292.3240264831
-42.91,49292.0770132088
-42.9,49291.8299999345
-42.89,49291.5829866602
-42.88,49291.3359733859
-42.87,49291.0889601115
-42.86,49290.8446113407
-42.85,49290.6010705445
-42.84,49290.3575297482
-42.83,49290.113988952
-42.82,49289.8704481558
-42.81,49289.6269073595
-42.8,49289.3833665633
-42.79,49289.1398257671
-42.78,49288.8962849708
-42.77,49288.6533640099
-42.76,49288.413237793
-42.75,49288.1731115762
-42.74,49287.9329853593
-42.73,49287.6928591424
-42.72,49287.4527329255
-42.71,49287.2126067086
-42.7,49286.9724804917
-42.69,49286.7323542749
-42.68,49286.492228058
-42.67,49286.2541021588
-42.66,49286.0173336908
-42.65,49285.7805652229
-42.64,49285.5437967549
-42.63,49285.307028287
-42.62,49285.070259819
-42.61,49284.833491351
-42.6,49284.5967228831
-42.59,49284.3599544151
-42.58,49284.1232187602
-42.57,49283.8897522576
-42.56,49283.6562857551
-42.55,49283.4228192525
-42.54,49283.18935275
-42.53,49282.9558862475
-42.52,49282.7224197449
-42.51,49282.4889532424
-42.5,49282.2554867398
-42.49,49282.0220202373
-42.48,49281.7899310155
-42.47,49281.5597117209
-42.46,49281.3294924263
-42.45,49281.0992731317
-42.44,49280.8690538371
-42.43,49280.6388345425
-42.42,49280.408615248
-42.41,49280.1783959534
-42.4,49279.9481766588
-42.39,49279.7179573642
-42.38,49279.4904152994
-42.37,49279.2633894608
-42.36,49279.0363636222
-42.35,49278.8093377837
-42.34,49278.5823119451
-42.33,49278.3552861066
-42.32,49278.128260268
-42.31,49277.9012344295
-42.3,49277.6742085909
-42.29,49277.4479759472
-42.28,49277.2240907984
-42.27,49277.0002056495
-42.26,49276.7763205006
-42.25,49276.5524353517
-42.24,49276.3285502028
-42.23,49276.1046650539
-42.22,49275.880779905
-42.21,49275.6568947561
-42.2,49275.4330096072
-42.19,49275.2111840062
-42.18,49274.9903877465
-42.17,49274.7695914869
-42.16,49274.5487952272
-42.15,49274.3279989676
-42.14,49274.1072027079
-42.13,49273.8864064482
-42.12,49273.6656101886
-42.11,49273.4448139289
-42.1,49273.2242636459
-42.09,49273.0065054218
-42.08,49272.7887471977
-42.07,49272.5709889736
-42.06,49272.3532307495
-42.05,49272.1354725254
-42.04,49271.9177143013
-42.03,49271.6999560772
-42.02,49271.4821978531
-42.01,49271.2644396291
-42,49271.0481610313
-41.99,49270.8333909171
-41.98,49270.6186208029
-41.97,49270.4038506886
-41.96,49270.1890805744
-41.95,49269.9743104602
-41.94,49269.759540346
-41.93,49269.5447702318
-41.92,49269.3300001176
-41.91,49269.1152300034
-41.9,49268.9031326334
-41.89,49268.6913016129
-41.88,49268.4794705925
-41.87,49268.2676395721
-41.86,49268.0558085517
-41.85,49267.8439775312
-41.84,49267.6321465108
