"Time","Left.Caudate"
-52.64,3320.90199930272
-52.63,3320.91486555851
-52.62,3320.92773181431
-52.61,3320.9405980701
-52.6,3320.9534643259
-52.59,3320.96633058169
-52.58,3320.97919683749
-52.57,3320.99206309329
-52.56,3321.00492934908
-52.55,3321.01779560488
-52.54,3321.03071457595
-52.53,3321.04363735987
-52.52,3321.05656014378
-52.51,3321.0694829277
-52.5,3321.08240571161
-52.49,3321.09532849553
-52.48,3321.10825127945
-52.47,3321.12117406336
-52.46,3321.13409684728
-52.45,3321.14703930477
-52.44,3321.16001882487
-52.43,3321.17299834497
-52.42,3321.18597786507
-52.41,3321.19895738517
-52.4,3321.21193690526
-52.39,3321.22491642536
-52.38,3321.23789594546
-52.37,3321.25087546556
-52.36,3321.26385498566
-52.35,3321.27687783854
-52.34,3321.28991430344
-52.33,3321.30295076835
-52.32,3321.31598723325
-52.31,3321.32902369816
-52.3,3321.34206016306
-52.29,3321.35509662797
-52.28,3321.36813309288
-52.27,3321.38116955778
-52.26,3321.39421603416
-52.25,3321.40730965305
-52.24,3321.42040327195
-52.23,3321.43349689084
-52.22,3321.44659050974
-52.21,3321.45968412863
-52.2,3321.47277774753
-52.19,3321.48587136642
-52.18,3321.49896498532
-52.17,3321.51205860422
-52.16,3321.52518603171
-52.15,3321.53833701434
-52.14,3321.55148799697
-52.13,3321.5646389796
-52.12,3321.57778996223
-52.11,3321.59094094486
-52.1,3321.60409192749
-52.09,3321.61724291012
-52.08,3321.63039389275
-52.07,3321.64354508137
-52.06,3321.65675363805
-52.05,3321.66996219472
-52.04,3321.68317075139
-52.03,3321.69637930807
-52.02,3321.70958786474
-52.01,3321.72279642141
-52,3321.73600497808
-51.99,3321.74921353476
-51.98,3321.76242209143
-51.97,3321.77565478969
-51.96,3321.78892113127
-51.95,3321.80218747286
-51.94,3321.81545381444
-51.93,3321.82872015603
-51.92,3321.84198649761
-51.91,3321.85525283919
-51.9,3321.86851918078
-51.89,3321.88178552236
-51.88,3321.89505186395
-51.87,3321.90836645787
-51.86,3321.92169079579
-51.85,3321.93501513372
-51.84,3321.94833947165
-51.83,3321.96166380958
-51.82,3321.97498814751
-51.81,3321.98831248544
-51.8,3322.00163682337
-51.79,3322.0149611613
-51.78,3322.02829982982
-51.77,3322.04168237609
-51.76,3322.05506492236
-51.75,3322.06844746863
-51.74,3322.08183001489
-51.73,3322.09521256116
-51.72,3322.10859510743
-51.71,3322.1219776537
-51.7,3322.13536019997
-51.69,3322.14874274624
-51.68,3322.1621638737
-51.67,3322.17560484087
-51.66,3322.18904580804
-51.65,3322.20248677521
