"Time","Left.Amygdala"
-52.64,1057.78385534345
-52.63,1057.74696102922
-52.62,1057.71006671498
-52.61,1057.67317240075
-52.6,1057.63627808651
-52.59,1057.59938377228
-52.58,1057.56248945805
-52.57,1057.52559514381
-52.56,1057.48870082958
-52.55,1057.45180651534
-52.54,1057.41494898656
-52.53,1057.37809411844
-52.52,1057.34123925032
-52.51,1057.30438438219
-52.5,1057.26752951407
-52.49,1057.23067464594
-52.48,1057.19381977782
-52.47,1057.15696490969
-52.46,1057.12011004157
-52.45,1057.08326881367
-52.44,1057.0464532823
-52.43,1057.00963775092
-52.42,1056.97282221955
-52.41,1056.93600668817
-52.4,1056.8991911568
-52.39,1056.86237562543
-52.38,1056.82556009405
-52.37,1056.78874456268
-52.36,1056.7519290313
-52.35,1056.71514335064
-52.34,1056.67836704692
-52.33,1056.64159074319
-52.32,1056.60481443947
-52.31,1056.56803813575
-52.3,1056.53126183203
-52.29,1056.4944855283
-52.28,1056.45770922458
-52.27,1056.42093292086
-52.26,1056.38416346944
-52.25,1056.34742628453
-52.24,1056.31068909962
-52.23,1056.27395191471
-52.22,1056.2372147298
-52.21,1056.20047754489
-52.2,1056.16374035998
-52.19,1056.12700317507
-52.18,1056.09026599016
-52.17,1056.05352880524
-52.16,1056.01681461188
-52.15,1055.9801164372
-52.14,1055.94341826252
-52.13,1055.90672008784
-52.12,1055.87002191316
-52.11,1055.83332373848
-52.1,1055.7966255638
-52.09,1055.75992738912
-52.08,1055.72322921444
-52.07,1055.68653117895
-52.06,1055.64987190617
-52.05,1055.6132126334
-52.04,1055.57655336063
-52.03,1055.53989408785
-52.02,1055.50323481508
-52.01,1055.46657554231
-52,1055.42991626954
-51.99,1055.39325699676
-51.98,1055.35659772399
-51.97,1055.31995465864
-51.96,1055.28333417971
-51.95,1055.24671370078
-51.94,1055.21009322185
-51.93,1055.17347274291
-51.92,1055.13685226398
-51.91,1055.10023178505
-51.9,1055.06361130612
-51.89,1055.02699082718
-51.88,1054.99037034825
-51.87,1054.95378205568
-51.86,1054.91720026278
-51.85,1054.88061846987
-51.84,1054.84403667697
-51.83,1054.80745488407
-51.82,1054.77087309116
-51.81,1054.73429129826
-51.8,1054.69770950536
-51.79,1054.66112771245
-51.78,1054.62455541737
-51.77,1054.58801220294
-51.76,1054.55146898851
-51.75,1054.51492577408
-51.74,1054.47838255966
-51.73,1054.44183934523
-51.72,1054.4052961308
-51.71,1054.36875291637
-51.7,1054.33220970194
-51.69,1054.29566648751
-51.68,1054.25914867946
-51.67,1054.2226439362
-51.66,1054.18613919295
-51.65,1054.14963444969
-51.64,1054.11312970643
-51.63,1054.07662496317
-51.62,1054.04012021992
-51.61,1054.00361547666
-51.6,1053.9671107334
-51.59,1053.93060885234
-51.58,1053.89414247321
-51.57,1053.85767609408
-51.56,1053.82120971494
-51.55,1053.78474333581
-51.54,1053.74827695667
-51.53,1053.71181057754
-51.52,1053.67534419841
-51.51,1053.63887781927
-51.5,1053.60241144014
-51.49,1053.56596376164
-51.48,1053.52953563983
-51.47,1053.49310751803
-51.46,1053.45667939622
-51.45,1053.42025127441
-51.44,1053.38382315261
-51.43,1053.3473950308
-51.42,1053.31096690899
-51.41,1053.27453878719
