"Time","Right.Basal.Forebrain"
-52.64,417.899791637409
-52.63,417.899791637409
-52.62,417.899791637409
-52.61,417.899791637409
-52.6,417.899791637409
-52.59,417.899791637409
-52.58,417.899791637409
-52.57,417.899791637409
-52.56,417.899791637409
-52.55,417.899791637409
-52.54,417.899791637409
-52.53,417.899791637409
-52.52,417.899791637409
-52.51,417.899791637409
-52.5,417.899791637409
-52.49,417.899791637409
-52.48,417.899791637409
-52.47,417.899791637409
-52.46,417.899791637409
-52.45,417.899791637409
-52.44,417.899791637409
-52.43,417.899791637409
-52.42,417.899791637409
-52.41,417.899791637409
-52.4,417.899791637409
-52.39,417.899791637409
-52.38,417.899791637409
-52.37,417.899791637409
-52.36,417.899791637409
-52.35,417.899791637409
-52.34,417.899791637409
-52.33,417.899791637409
-52.32,417.899791637409
-52.31,417.899791637409
-52.3,417.899791637409
-52.29,417.899791637409
-52.28,417.899791637409
-52.27,417.899791637409
-52.26,417.899791637409
-52.25,417.899791637409
-52.24,417.899791637409
-52.23,417.899791637409
-52.22,417.899791637409
-52.21,417.899791637409
-52.2,417.899791637409
-52.19,417.899791637409
-52.18,417.899791637409
-52.17,417.899791637409
-52.16,417.899791637409
-52.15,417.899791637409
-52.14,417.899791637409
-52.13,417.899791637409
-52.12,417.899791637409
-52.11,417.899791637409
-52.1,417.899791637409
-52.09,417.899791637409
-52.08,417.899791637409
-52.07,417.899791637409
-52.06,417.899791637409
-52.05,417.899791637409
-52.04,417.899791637409
-52.03,417.899791637409
-52.02,417.899791637409
-52.01,417.899791637409
-52,417.899791637409
-51.99,417.899791637409
-51.98,417.899791637409
-51.97,417.899791637409
-51.96,417.899791637409
-51.95,417.899791637409
-51.94,417.899791637409
-51.93,417.899791637409
-51.92,417.899791637409
-51.91,417.899791637409
-51.9,417.899791637409
-51.89,417.899791637409
-51.88,417.899791637409
-51.87,417.899791637409
-51.86,417.899791637409
-51.85,417.899791637409
-51.84,417.899791637409
-51.83,417.899791637409
-51.82,417.899791637409
-51.81,417.899791637409
-51.8,417.899791637409
-51.79,417.899791637409
-51.78,417.899791637409
-51.77,417.899791637409
-51.76,417.899791637409
-51.75,417.899791637409
-51.74,417.899791637409
-51.73,417.899791637409
-51.72,417.899791637409
-51.71,417.899791637409
-51.7,417.899791637409
-51.69,417.899791637409
-51.68,417.899791637409
-51.67,417.899791637409
-51.66,417.899791637409
-51.65,417.899791637409
-51.64,417.899791637409
-51.63,417.899791637409
-51.62,417.899791637409
-51.61,417.899791637409
-51.6,417.899791637409
-51.59,417.899791637409
-51.58,417.899791637409
-51.57,417.899791637409
-51.56,417.899791637409
-51.55,417.899791637409
-51.54,417.899791637409
-51.53,417.899791637409
-51.52,417.899791637409
-51.51,417.899791637409
-51.5,417.899791637409
-51.49,417.899791637409
-51.48,417.899791637409
-51.47,417.899791637409
-51.46,417.899791637409
-51.45,417.899791637409
-51.44,417.899791637409
-51.43,417.899791637409
-51.42,417.899791637409
-51.41,417.899791637409
-51.4,417.899791637409
-51.39,417.899791637409
-51.38,417.899791637409
-51.37,417.899791637409
-51.36,417.899791637409
-51.35,417.899791637409
-51.34,417.899791637409
-51.33,417.899791637409
-51.32,417.899791637409
-51.31,417.899791637409
-51.3,417.899791637409
-51.29,417.899791637409
-51.28,417.899791637409
-51.27,417.899791637409
-51.26,417.899791637409
-51.25,417.899791637409
-51.24,417.899791637409
-51.23,417.899791637409
-51.22,417.899791637409
-51.21,417.899791637409
-51.2,417.899791637409
-51.19,417.899791637409
-51.18,417.899791637409
-51.17,417.899791637409
-51.16,417.899791637409
-51.15,417.899791637409
-51.14,417.899791637409
-51.13,417.899791637409
-51.12,417.899791637409
-51.11,417.899791637409
-51.1,417.899791637409
-51.09,417.899791637409
-51.08,417.899791637409
-51.07,417.899791637409
-51.06,417.899791637409
-51.05,417.899791637409
-51.04,417.899791637409
-51.03,417.899791637409
-51.02,417.899791637409
-51.01,417.899791637409
-51,417.899791637409
-50.99,417.899791637409
-50.98,417.899791637409
-50.97,417.899791637409
-50.96,417.899791637409
-50.95,417.899791637409
-50.94,417.899791637409
-50.93,417.899791637409
-50.92,417.899791637409
-50.91,417.899791637409
-50.9,417.899791637409
-50.89,417.899791637409
-50.88,417.899791637409
-50.87,417.899791637409
-50.86,417.899791637409
-50.85,417.899791637409
-50.84,417.899791637409
-50.83,417.899791637409
-50.82,417.899791637409
-50.81,417.899791637409
-50.8,417.899791637409
-50.79,417.899791637409
-50.78,417.899791637409
-50.77,417.899791637409
-50.76,417.899791637409
-50.75,417.899791637409
-50.74,417.899791637409
