"Time","Left.Inf.Lat.Vent"
-52.64,1224.13639549068
-52.63,1224.1781191479
-52.62,1224.21984280512
-52.61,1224.26156646234
-52.6,1224.30329011955
-52.59,1224.34501377677
-52.58,1224.38673743399
-52.57,1224.42846109121
-52.56,1224.47018474843
-52.55,1224.51190840564
-52.54,1224.55371900371
-52.53,1224.59553589011
-52.52,1224.63735277651
-52.51,1224.67916966291
-52.5,1224.72098654931
-52.49,1224.76280343572
-52.48,1224.80462032212
-52.47,1224.84643720852
-52.46,1224.88825409492
-52.45,1224.93010335544
-52.44,1224.97201360485
-52.43,1225.01392385425
-52.42,1225.05583410365
-52.41,1225.09774435306
-52.4,1225.13965460246
-52.39,1225.18156485186
-52.38,1225.22347510127
-52.37,1225.26538535067
-52.36,1225.30729560008
-52.35,1225.34927699688
-52.34,1225.39128074307
-52.33,1225.43328448926
-52.32,1225.47528823545
-52.31,1225.51729198163
-52.3,1225.55929572782
-52.29,1225.60129947401
-52.28,1225.6433032202
-52.27,1225.68530696639
-52.26,1225.72732711352
-52.25,1225.76942449024
-52.24,1225.81152186696
-52.23,1225.85361924369
-52.22,1225.89571662041
-52.21,1225.93781399713
-52.2,1225.97991137385
-52.19,1226.02200875057
-52.18,1226.0641061273
-52.17,1226.10620350402
-52.16,1226.14835614279
-52.15,1226.19054728376
-52.14,1226.23273842473
-52.13,1226.2749295657
-52.12,1226.31712070667
-52.11,1226.35931184764
-52.1,1226.40150298861
-52.09,1226.44369412958
-52.08,1226.48588527055
-52.07,1226.52807674748
-52.06,1226.57036178637
-52.05,1226.61264682527
-52.04,1226.65493186416
-52.03,1226.69721690306
-52.02,1226.73950194196
-52.01,1226.78178698085
-52,1226.82407201975
-51.99,1226.86635705865
-51.98,1226.90864209754
-51.97,1226.95096642128
-51.96,1226.99334549174
-51.95,1227.03572456221
-51.94,1227.07810363267
-51.93,1227.12048270313
-51.92,1227.1628617736
-51.91,1227.20524084406
-51.9,1227.24761991453
-51.89,1227.28999898499
-51.88,1227.33237805545
-51.87,1227.37483547032
-51.86,1227.41730870596
-51.85,1227.45978194159
-51.84,1227.50225517723
