"Time","Left.Pallidum"
-52.64,1323.84289696482
-52.63,1323.84289696482
-52.62,1323.84289696482
-52.61,1323.84289696482
-52.6,1323.84289696482
-52.59,1323.84289696482
-52.58,1323.84289696482
-52.57,1323.84289696482
-52.56,1323.84289696482
-52.55,1323.84289696482
-52.54,1323.84289696482
-52.53,1323.84289696482
-52.52,1323.84289696482
-52.51,1323.84289696482
-52.5,1323.84289696482
-52.49,1323.84289696482
-52.48,1323.84289696482
-52.47,1323.84289696482
-52.46,1323.84289696482
-52.45,1323.84289696482
-52.44,1323.84289696482
-52.43,1323.84289696482
-52.42,1323.84289696482
-52.41,1323.84289696482
-52.4,1323.84289696482
-52.39,1323.84289696482
-52.38,1323.84289696482
-52.37,1323.84289696482
-52.36,1323.84289696482
-52.35,1323.84289696482
-52.34,1323.84289696482
-52.33,1323.84289696482
-52.32,1323.84289696482
-52.31,1323.84289696482
-52.3,1323.84289696482
-52.29,1323.84289696482
-52.28,1323.84289696482
-52.27,1323.84289696482
-52.26,1323.84289696482
-52.25,1323.84289696482
-52.24,1323.84289696482
-52.23,1323.84289696482
-52.22,1323.84289696482
-52.21,1323.84289696482
-52.2,1323.84289696482
-52.19,1323.84289696482
-52.18,1323.84289696482
-52.17,1323.84289696482
-52.16,1323.84289696482
-52.15,1323.84289696482
-52.14,1323.84289696482
-52.13,1323.84289696482
-52.12,1323.84289696482
-52.11,1323.84289696482
-52.1,1323.84289696482
-52.09,1323.84289696482
-52.08,1323.84289696482
-52.07,1323.84289696482
-52.06,1323.84289696482
-52.05,1323.84289696482
-52.04,1323.84289696482
-52.03,1323.84289696482
-52.02,1323.84289696482
-52.01,1323.84289696482
-52,1323.84289696482
-51.99,1323.84289696482
-51.98,1323.84289696482
-51.97,1323.84289696482
-51.96,1323.84289696482
-51.95,1323.84289696482
-51.94,1323.84289696482
-51.93,1323.84289696482
-51.92,1323.84289696482
-51.91,1323.84289696482
-51.9,1323.84289696482
-51.89,1323.84289696482
-51.88,1323.84289696482
-51.87,1323.84289696482
-51.86,1323.84289696482
-51.85,1323.84289696482
-51.84,1323.84289696482
-51.83,1323.84289696482
-51.82,1323.84289696482
-51.81,1323.84289696482
-51.8,1323.84289696482
-51.79,1323.84289696482
-51.78,1323.84289696482
-51.77,1323.84289696482
-51.76,1323.84289696482
-51.75,1323.84289696482
-51.74,1323.84289696482
-51.73,1323.84289696482
-51.72,1323.84289696482
-51.71,1323.84289696482
-51.7,1323.84289696482
-51.69,1323.84289696482
-51.68,1323.84289696482
-51.67,1323.84289696482
-51.66,1323.84289696482
-51.65,1323.84289696482
-51.64,1323.84289696482
-51.63,1323.84289696482
-51.62,1323.84289696482
-51.61,1323.84289696482
