"Time","Right.Pallidum"
-52.64,1342.62779445299
-52.63,1342.62779445299
-52.62,1342.62779445299
-52.61,1342.62779445299
-52.6,1342.62779445299
-52.59,1342.62779445299
-52.58,1342.62779445299
-52.57,1342.62779445299
-52.56,1342.62779445299
-52.55,1342.62779445299
-52.54,1342.62779445299
-52.53,1342.62779445299
-52.52,1342.62779445299
-52.51,1342.62779445299
-52.5,1342.62779445299
-52.49,1342.62779445299
-52.48,1342.62779445299
-52.47,1342.62779445299
-52.46,1342.62779445299
-52.45,1342.62779445299
-52.44,1342.62779445299
-52.43,1342.62779445299
-52.42,1342.62779445299
-52.41,1342.62779445299
-52.4,1342.62779445299
-52.39,1342.62779445299
-52.38,1342.62779445299
-52.37,1342.62779445299
-52.36,1342.62779445299
-52.35,1342.62779445299
-52.34,1342.62779445299
-52.33,1342.62779445299
-52.32,1342.62779445299
-52.31,1342.62779445299
-52.3,1342.62779445299
-52.29,1342.62779445299
-52.28,1342.62779445299
-52.27,1342.62779445299
-52.26,1342.62779445299
-52.25,1342.62779445299
-52.24,1342.62779445299
-52.23,1342.62779445299
-52.22,1342.62779445299
-52.21,1342.62779445299
-52.2,1342.62779445299
-52.19,1342.62779445299
-52.18,1342.62779445299
-52.17,1342.62779445299
-52.16,1342.62779445299
-52.15,1342.62779445299
-52.14,1342.62779445299
-52.13,1342.62779445299
-52.12,1342.62779445299
-52.11,1342.62779445299
-52.1,1342.62779445299
-52.09,1342.62779445299
-52.08,1342.62779445299
-52.07,1342.62779445299
-52.06,1342.62779445299
-52.05,1342.62779445299
-52.04,1342.62779445299
-52.03,1342.62779445299
-52.02,1342.62779445299
-52.01,1342.62779445299
-52,1342.62779445299
-51.99,1342.62779445299
-51.98,1342.62779445299
-51.97,1342.62779445299
-51.96,1342.62779445299
-51.95,1342.62779445299
-51.94,1342.62779445299
-51.93,1342.62779445299
-51.92,1342.62779445299
-51.91,1342.62779445299
-51.9,1342.62779445299
-51.89,1342.62779445299
-51.88,1342.62779445299
-51.87,1342.62779445299
-51.86,1342.62779445299
-51.85,1342.62779445299
-51.84,1342.62779445299
-51.83,1342.62779445299
-51.82,1342.62779445299
-51.81,1342.62779445299
-51.8,1342.62779445299
-51.79,1342.62779445299
-51.78,1342.62779445299
-51.77,1342.62779445299
-51.76,1342.62779445299
-51.75,1342.62779445299
-51.74,1342.62779445299
-51.73,1342.62779445299
-51.72,1342.62779445299
-51.71,1342.62779445299
-51.7,1342.62779445299
-51.69,1342.62779445299
-51.68,1342.62779445299
-51.67,1342.62779445299
-51.66,1342.62779445299
-51.65,1342.62779445299
-51.64,1342.62779445299
-51.63,1342.62779445299
-51.62,1342.62779445299
-51.61,1342.62779445299
-51.6,1342.62779445299
-51.59,1342.62779445299
-51.58,1342.62779445299
-51.57,1342.62779445299
-51.56,1342.62779445299
-51.55,1342.62779445299
-51.54,1342.62779445299
-51.53,1342.62779445299
-51.52,1342.62779445299
-51.51,1342.62779445299
-51.5,1342.62779445299
-51.49,1342.62779445299
-51.48,1342.62779445299
-51.47,1342.62779445299
-51.46,1342.62779445299
-51.45,1342.62779445299
-51.44,1342.62779445299
-51.43,1342.62779445299
-51.42,1342.62779445299
-51.41,1342.62779445299
-51.4,1342.62779445299
-51.39,1342.62779445299
-51.38,1342.62779445299
-51.37,1342.62779445299
-51.36,1342.62779445299
-51.35,1342.62779445299
-51.34,1342.62779445299
-51.33,1342.62779445299
-51.32,1342.62779445299
-51.31,1342.62779445299
-51.3,1342.62779445299
-51.29,1342.62779445299
-51.28,1342.62779445299
-51.27,1342.62779445299
-51.26,1342.62779445299
-51.25,1342.62779445299
-51.24,1342.62779445299
-51.23,1342.62779445299
-51.22,1342.62779445299
-51.21,1342.62779445299
-51.2,1342.62779445299
-51.19,1342.62779445299
-51.18,1342.62779445299
-51.17,1342.62779445299
-51.16,1342.62779445299
-51.15,1342.62779445299
-51.14,1342.62779445299
-51.13,1342.62779445299
-51.12,1342.62779445299
-51.11,1342.62779445299
-51.1,1342.62779445299
-51.09,1342.62779445299
-51.08,1342.62779445299
-51.07,1342.62779445299
-51.06,1342.62779445299
-51.05,1342.62779445299
-51.04,1342.62779445299
-51.03,1342.62779445299
-51.02,1342.62779445299
-51.01,1342.62779445299
-51,1342.62779445299
-50.99,1342.62779445299
-50.98,1342.62779445299
-50.97,1342.62779445299
-50.96,1342.62779445299
-50.95,1342.62779445299
-50.94,1342.62779445299
-50.93,1342.62779445299
-50.92,1342.62779445299
-50.91,1342.62779445299
-50.9,1342.62779445299
-50.89,1342.62779445299
-50.88,1342.62779445299
-50.87,1342.62779445299
-50.86,1342.62779445299
-50.85,1342.62779445299
-50.84,1342.62779445299
-50.83,1342.62779445299
-50.82,1342.62779445299
-50.81,1342.62779445299
-50.8,1342.62779445299
-50.79,1342.62779445299
-50.78,1342.62779445299
-50.77,1342.62779445299
-50.76,1342.62779445299
-50.75,1342.62779445299
-50.74,1342.62779445299
-50.73,1342.62779445299
-50.72,1342.62779445299
-50.71,1342.62779445299
-50.7,1342.62779445299
-50.69,1342.62779445299
-50.68,1342.62779445299
-50.67,1342.62779445299
-50.66,1342.62779445299
-50.65,1342.62779445299
-50.64,1342.62779445299
-50.63,1342.62779445299
-50.62,1342.62779445299
-50.61,1342.62779445299
-50.6,1342.62779445299
-50.59,1342.62779445299
-50.58,1342.62779445299
-50.57,1342.62779445299
-50.56,1342.62779445299
-50.55,1342.62779445299
-50.54,1342.62779445299
-50.53,1342.62779445299
-50.52,1342.62779445299
-50.51,1342.62779445299
