"Time","D16"
-46.17,-0.0522439868568291
-46.16,-0.0522070543276371
-46.15,-0.0521701217984452
-46.14,-0.0521331892692532
-46.13,-0.0520962567400613
-46.12,-0.0520593242108694
-46.11,-0.0520223916816774
-46.1,-0.0519854591524855
-46.09,-0.0519485266232936
-46.08,-0.0519115940941016
-46.07,-0.0518746615649097
-46.06,-0.0518378591059583
-46.05,-0.0518012172489083
-46.04,-0.0517645753918583
-46.03,-0.0517279335348083
-46.02,-0.0516912916777583
-46.01,-0.0516546498207084
-46,-0.0516180079636584
-45.99,-0.0515813661066084
-45.98,-0.0515447242495584
-45.97,-0.0515080823925084
-45.96,-0.0514714405354584
-45.95,-0.0514348872889027
-45.94,-0.051398533053999
-45.93,-0.0513621788190953
-45.92,-0.0513258245841916
-45.91,-0.0512894703492879
-45.9,-0.0512531161143842
-45.89,-0.0512167618794805
-45.88,-0.0511804076445768
-45.87,-0.0511440534096731
-45.86,-0.0511076991747694
-45.85,-0.0510713449398657
-45.84,-0.0510350387121224
-45.83,-0.0509989690853255
-45.82,-0.0509628994585286
-45.81,-0.0509268298317316
-45.8,-0.0508907602049347
-45.79,-0.0508546905781378
-45.78,-0.0508186209513409
-45.77,-0.0507825513245439
-45.76,-0.050746481697747
-45.75,-0.0507104120709501
-45.74,-0.0506743424441532
-45.73,-0.0506382810625444
-45.72,-0.0506024930653001
-45.71,-0.0505667050680559
-45.7,-0.0505309170708117
-45.69,-0.0504951290735675
-45.68,-0.0504593410763232
-45.67,-0.050423553079079
-45.66,-0.0503877650818347
-45.65,-0.0503519770845905
-45.64,-0.0503161890873463
-45.63,-0.050280401090102
-45.62,-0.0502446130928578
-45.61,-0.0502090730914219
-45.6,-0.0501735637801977
-45.59,-0.0501380544689734
-45.58,-0.0501025451577491
-45.57,-0.0500670358465248
-45.56,-0.0500315265353006
-45.55,-0.0499960172240763
-45.54,-0.049960507912852
-45.53,-0.0499249986016278
-45.52,-0.0498894892904035
-45.51,-0.0498539799791792
-45.5,-0.0498186776314353
-45.49,-0.0497834440972621
-45.48,-0.0497482105630888
-45.47,-0.0497129770289156
-45.46,-0.0496777434947424
-45.45,-0.0496425099605691
-45.44,-0.0496072764263959
-45.43,-0.0495720428922227
-45.42,-0.0495368093580495
-45.41,-0.0495015758238762
-45.4,-0.049466342289703
-45.39,-0.0494312755185561
-45.38,-0.0493963148865778
-45.37,-0.0493613542545995
-45.36,-0.0493263936226211
-45.35,-0.0492914329906427
-45.34,-0.0492564723586644
-45.33,-0.049221511726686
-45.32,-0.0491865510947077
-45.31,-0.0491515904627293
-45.3,-0.049116629830751
-45.29,-0.0490816691987726
-45.28,-0.0490468359467649
-45.27,-0.0490121453757933
-45.26,-0.0489774548048217
-45.25,-0.04894276423385
-45.24,-0.0489080736628784
-45.23,-0.0488733830919067
-45.22,-0.0488386925209351
-45.21,-0.0488040019499635
-45.2,-0.0487693113789918
-45.19,-0.0487346208080202
-45.18,-0.0486999302370485
-45.17,-0.0486653284661642
-45.16,-0.0486309051482407
-45.15,-0.0485964818303171
-45.14,-0.0485620585123936
-45.13,-0.0485276351944701
-45.12,-0.0484932118765466
-45.11,-0.048458788558623
-45.1,-0.0484243652406995
-45.09,-0.048389941922776
-45.08,-0.0483555186048524
-45.07,-0.0483210952869289
-45.06,-0.0482867229784016
-45.05,-0.0482525641383648
-45.04,-0.048218405298328
-45.03,-0.0481842464582913
-45.02,-0.0481500876182545
-45.01,-0.0481159287782177
-45,-0.0480817699381809
-44.99,-0.0480476110981441
-44.98,-0.0480134522581073
-44.97,-0.0479792934180705
-44.96,-0.0479451345780337
-44.95,-0.0479109897321557
-44.94,-0.0478770926272153
-44.93,-0.0478431955222749
-44.92,-0.0478092984173344
-44.91,-0.047775401312394
-44.9,-0.0477415042074536
-44.89,-0.0477076071025132
-44.88,-0.0476737099975728
-44.87,-0.0476398128926324
-44.86,-0.047605915787692
-44.85,-0.0475720186827515
-44.84,-0.0475381215778111
-44.83,-0.0475044612380008
-44.82,-0.0474708231573171
-44.81,-0.0474371850766335
-44.8,-0.0474035469959499
-44.79,-0.0473699089152662
-44.78,-0.0473362708345826
-44.77,-0.0473026327538989
-44.76,-0.0472689946732153
-44.75,-0.0472353565925316
-44.74,-0.047201718511848
-44.73,-0.0471680804311644
-44.72,-0.0471346409317055
-44.71,-0.0471012591959754
-44.7,-0.0470678774602454
-44.69,-0.0470344957245153
-44.68,-0.0470011139887852
-44.67,-0.0469677322530551
-44.66,-0.046934350517325
-44.65,-0.0469009687815949
-44.64,-0.0468675870458649
-44.63,-0.0468342053101348
-44.62,-0.0468008235744047
-44.61,-0.0467676030027657
-44.6,-0.0467344749638138
-44.59,-0.0467013469248619
-44.58,-0.04666821888591
-44.57,-0.0466350908469581
-44.56,-0.0466019628080062
-44.55,-0.0465688347690543
-44.54,-0.0465357067301024
-44.53,-0.0465025786911505
-44.52,-0.0464694506521986
-44.51,-0.0464363226132467
-44.5,-0.0464033190748063
-44.49,-0.0463704421151822
-44.48,-0.046337565155558
-44.47,-0.0463046881959339
-44.46,-0.0462718112363098
-44.45,-0.0462389342766856
-44.44,-0.0462060573170615
-44.43,-0.0461731803574373
-44.42,-0.0461403033978132
-44.41,-0.0461074264381891
-44.4,-0.0460745494785649
-44.39,-0.0460417610964359
-44.38,-0.0460091326290169
-44.37,-0.0459765041615979
-44.36,-0.0459438756941788
-44.35,-0.0459112472267598
-44.34,-0.0458786187593408
-44.33,-0.0458459902919218
-44.32,-0.0458133618245028
-44.31,-0.0457807333570838
-44.3,-0.0457481048896648
-44.29,-0.0457154764222458
-44.28,-0.0456829013371004
-44.27,-0.0456505188046999
-44.26,-0.0456181362722995
-44.25,-0.045585753739899
-44.24,-0.0455533712074986
-44.23,-0.0455209886750981
-44.22,-0.0454886061426977
-44.21,-0.0454562236102972
-44.2,-0.0454238410778968
-44.19,-0.0453914585454964
-44.18,-0.0453590760130959
-44.17,-0.0453267123829931
-44.16,-0.0452945732579745
-44.15,-0.0452624341329559
-44.14,-0.0452302950079374
-44.13,-0.0451981558829188
-44.12,-0.0451660167579003
-44.11,-0.0451338776328817
