"Time","CSF"
-52.64,2261.12137336523
-52.63,2261.15037661948
-52.62,2261.17937987373
-52.61,2261.20838312797
-52.6,2261.23738638222
-52.59,2261.26638963646
-52.58,2261.29539289071
-52.57,2261.32439614496
-52.56,2261.3533993992
-52.55,2261.38240265345
-52.54,2261.41134782077
-52.53,2261.44028878673
-52.52,2261.46922975268
-52.51,2261.49817071864
-52.5,2261.52711168459
-52.49,2261.55605265055
-52.48,2261.5849936165
-52.47,2261.61393458245
-52.46,2261.64287554841
-52.45,2261.67179500924
-52.44,2261.70067395705
-52.43,2261.72955290486
-52.42,2261.75843185267
-52.41,2261.78731080048
-52.4,2261.81618974829
-52.39,2261.84506869609
-52.38,2261.8739476439
-52.37,2261.90282659171
-52.36,2261.93170553952
-52.35,2261.96053749863
-52.34,2261.98935469727
-52.33,2262.01817189591
-52.32,2262.04698909456
-52.31,2262.0758062932
-52.3,2262.10462349185
-52.29,2262.13344069049
-52.28,2262.16225788914
-52.27,2262.19107508778
-52.26,2262.21988151695
-52.25,2262.24863723425
-52.24,2262.27739295156
-52.23,2262.30614866886
-52.22,2262.33490438616
-52.21,2262.36366010347
-52.2,2262.39241582077
-52.19,2262.42117153808
-52.18,2262.44992725538
-52.17,2262.47868297268
-52.16,2262.50740261176
-52.15,2262.5360971144
-52.14,2262.56479161703
-52.13,2262.59348611967
-52.12,2262.62218062231
-52.11,2262.65087512494
-52.1,2262.67956962758
-52.09,2262.70826413021
-52.08,2262.73695863285
-52.07,2262.76565291742
-52.06,2262.79428647091
-52.05,2262.82292002441
-52.04,2262.85155357791
-52.03,2262.8801871314
-52.02,2262.9088206849
-52.01,2262.93745423839
-52,2262.96608779189
-51.99,2262.99472134539
-51.98,2263.02335489888
-51.97,2263.05196309929
-51.96,2263.08053596803
-51.95,2263.10910883677
-51.94,2263.13768170552
-51.93,2263.16625457426
-51.92,2263.194827443
-51.91,2263.22340031175
-51.9,2263.25197318049
-51.89,2263.28054604924
-51.88,2263.30911891798
-51.87,2263.33764151669
-51.86,2263.36615396394
-51.85,2263.39466641119
-51.84,2263.42317885843
-51.83,2263.45169130568
-51.82,2263.48020375293
-51.81,2263.50871620017
-51.8,2263.53722864742
-51.79,2263.56574109467
-51.78,2263.59423873099
-51.77,2263.62269101887
-51.76,2263.65114330675
-51.75,2263.67959559463
-51.74,2263.70804788251
-51.73,2263.73650017039
-51.72,2263.76495245827
-51.71,2263.79340474615
-51.7,2263.82185703402
-51.69,2263.8503093219
-51.68,2263.87872205288
-51.67,2263.9071144424
-51.66,2263.93550683192
-51.65,2263.96389922143
-51.64,2263.99229161095
-51.63,2264.02068400047
-51.62,2264.04907638999
-51.61,2264.07746877951
-51.6,2264.10586116903
-51.59,2264.13424910915
-51.58,2264.16258186021
-51.57,2264.19091461126
-51.56,2264.21924736231
-51.55,2264.24758011337
-51.54,2264.27591286442
-51.53,2264.30424561547
-51.52,2264.33257836653
-51.51,2264.36091111758
-51.5,2264.38924386863
-51.49,2264.4175475942
-51.48,2264.44582096557
-51.47,2264.47409433694
-51.46,2264.50236770831
-51.45,2264.53064107968
-51.44,2264.55891445106
-51.43,2264.58718782243
-51.42,2264.6154611938
-51.41,2264.64373456517
-51.4,2264.67200793654
-51.39,2264.70022791972
-51.38,2264.72844216909
-51.37,2264.75665641846
-51.36,2264.78487066783
-51.35,2264.81308491721
-51.34,2264.84129916658
-51.33,2264.86951341595
-51.32,2264.89772766532
-51.31,2264.9259419147
-51.3,2264.9541374906
-51.29,2264.98229287456
-51.28,2265.01044825852
-51.27,2265.03860364248
-51.26,2265.06675902644
-51.25,2265.09491441039
-51.24,2265.12306979435
-51.23,2265.15122517831
-51.22,2265.17938056227
-51.21,2265.20753594623
-51.2,2265.23564846121
-51.19,2265.26374523525
-51.18,2265.29184200929
-51.17,2265.31993878333
-51.16,2265.34803555737
-51.15,2265.37613233141
-51.14,2265.40422910545
-51.13,2265.43232587949
-51.12,2265.46042265353
-51.11,2265.488510929
-51.1,2265.51654934754
-51.09,2265.54458776607
-51.08,2265.5726261846
-51.07,2265.60066460313
-51.06,2265.62870302166
-51.05,2265.6567414402
-51.04,2265.68477985873
-51.03,2265.71281827726
-51.02,2265.74085669579
-51.01,2265.7688625864
-51,2265.79684290275
-50.99,2265.82482321911
-50.98,2265.85280353546
-50.97,2265.88078385182
-50.96,2265.90876416817
-50.95,2265.93674448453
-50.94,2265.96472480088
-50.93,2265.99270511724
-50.92,2266.02068543359
-50.91,2266.04860940148
-50.9,2266.07653186792
-50.89,2266.10445433435
-50.88,2266.13237680079
-50.87,2266.16029926722
-50.86,2266.18822173366
-50.85,2266.21614420009
-50.84,2266.24406666653
-50.83,2266.27198913297
-50.82,2266.29988923661
-50.81,2266.32775410432
-50.8,2266.35561897203
-50.79,2266.38348383974
-50.78,2266.41134870744
-50.77,2266.43921357515
-50.76,2266.46707844286
-50.75,2266.49494331057
-50.74,2266.52280817827
-50.73,2266.55067304598
-50.72,2266.5784918939
-50.71,2266.60629941301
-50.7,2266.63410693212
-50.69,2266.66191445122
-50.68,2266.68972197033
-50.67,2266.71752948944
-50.66,2266.74533700855
-50.65,2266.77314452766
-50.64,2266.80095204676
-50.63,2266.82874719454
-50.62,2266.85649761412
-50.61,2266.8842480337
-50.6,2266.91199845328
-50.59,2266.93974887286
-50.58,2266.96749929244
-50.57,2266.99524971202
-50.56,2267.02300013161
-50.55,2267.05075055119
-50.54,2267.07850097077
-50.53,2267.10621552454
-50.52,2267.13390909262
-50.51,2267.1616026607
