"Time","D14"
-46.17,-0.00987404302371815
-46.16,-0.00988165580081656
-46.15,-0.00988926857791498
-46.14,-0.00989688135501339
-46.13,-0.00990449413211181
-46.12,-0.00991210690921022
-46.11,-0.00991971968630864
-46.1,-0.00992733246340705
-46.09,-0.00993494524050546
-46.08,-0.00994255801760388
-46.07,-0.0099501707947023
-46.06,-0.00995775909787257
-46.05,-0.00996531718229813
-46.04,-0.0099728752667237
-46.03,-0.00998043335114926
-46.02,-0.00998799143557482
-46.01,-0.00999554952000038
-46,-0.0100031076044259
-45.99,-0.0100106656888515
-45.98,-0.0100182237732771
-45.97,-0.0100257818577026
-45.96,-0.0100333399421282
-45.95,-0.0100408813447846
-45.94,-0.0100483852816029
-45.93,-0.0100558892184212
-45.92,-0.0100633931552394
-45.91,-0.0100708970920577
-45.9,-0.010078401028876
-45.89,-0.0100859049656942
-45.88,-0.0100934089025125
-45.87,-0.0101009128393308
-45.86,-0.0101084167761491
-45.85,-0.0101159207129673
-45.84,-0.0101234156071819
-45.83,-0.0101308659353657
-45.82,-0.0101383162635496
-45.81,-0.0101457665917334
-45.8,-0.0101532169199172
-45.79,-0.010160667248101
-45.78,-0.0101681175762848
-45.77,-0.0101755679044686
-45.76,-0.0101830182326525
-45.75,-0.0101904685608363
-45.74,-0.0101979188890201
-45.73,-0.0102053676633224
-45.72,-0.0102127649158282
-45.71,-0.0102201621683339
-45.7,-0.0102275594208396
-45.69,-0.0102349566733453
-45.68,-0.0102423539258511
-45.67,-0.0102497511783568
-45.66,-0.0102571484308625
-45.65,-0.0102645456833683
-45.64,-0.010271942935874
-45.63,-0.0102793401883797
-45.62,-0.0102867374408855
-45.61,-0.0102940879316335
-45.6,-0.0103014326354762
-45.59,-0.010308777339319
-45.58,-0.0103161220431618
-45.57,-0.0103234667470045
-45.56,-0.0103308114508473
-45.55,-0.01033815615469
-45.54,-0.0103455008585328
-45.53,-0.0103528455623756
-45.52,-0.0103601902662183
-45.51,-0.0103675349700611
-45.5,-0.0103748406286116
-45.49,-0.0103821333049395
-45.48,-0.0103894259812673
-45.47,-0.0103967186575952
-45.46,-0.0104040113339231
-45.45,-0.0104113040102509
-45.44,-0.0104185966865788
-45.43,-0.0104258893629067
-45.42,-0.0104331820392345
-45.41,-0.0104404747155624
-45.4,-0.0104477673918903
-45.39,-0.0104550285905534
-45.38,-0.0104622697547206
-45.37,-0.0104695109188878
-45.36,-0.010476752083055
-45.35,-0.0104839932472222
-45.34,-0.0104912344113894
-45.33,-0.0104984755755566
-45.32,-0.0105057167397238
-45.31,-0.010512957903891
-45.3,-0.0105201990680582
-45.29,-0.0105274402322254
-45.28,-0.0105346573399744
-45.27,-0.0105418475016136
-45.26,-0.0105490376632527
-45.25,-0.0105562278248919
-45.24,-0.0105634179865311
-45.23,-0.0105706081481702
-45.22,-0.0105777983098094
-45.21,-0.0105849884714486
-45.2,-0.0105921786330877
-45.19,-0.0105993687947269
-45.18,-0.0106065589563661
-45.17,-0.0106137323388691
-45.16,-0.0106208720019625
-45.15,-0.0106280116650558
-45.14,-0.0106351513281492
-45.13,-0.0106422909912426
-45.12,-0.0106494306543359
-45.11,-0.0106565703174293
-45.1,-0.0106637099805227
-45.09,-0.010670849643616
-45.08,-0.0106779893067094
-45.07,-0.0106851289698028
-45.06,-0.0106922589894542
-45.05,-0.0106993486524039
-45.04,-0.0107064383153537
-45.03,-0.0107135279783034
-45.02,-0.0107206176412531
-45.01,-0.0107277073042028
-45,-0.0107347969671525
-44.99,-0.0107418866301023
-44.98,-0.010748976293052
-44.97,-0.0107560659560017
-44.96,-0.0107631556189514
-44.95,-0.0107702426349029
-44.94,-0.0107772827906004
-44.93,-0.0107843229462979
-44.92,-0.0107913631019954
-44.91,-0.0107984032576928
-44.9,-0.0108054434133903
-44.89,-0.0108124835690878
-44.88,-0.0108195237247853
-44.87,-0.0108265638804828
-44.86,-0.0108336040361803
-44.85,-0.0108406441918778
-44.84,-0.0108476843475753
-44.83,-0.0108546796959632
-44.82,-0.0108616708318575
-44.81,-0.0108686619677519
-44.8,-0.0108756531036462
-44.79,-0.0108826442395406
-44.78,-0.0108896353754349
-44.77,-0.0108966265113293
-44.76,-0.0109036176472236
-44.75,-0.0109106087831179
-44.74,-0.0109175999190123
-44.73,-0.0109245910549066
-44.72,-0.0109315445903664
-44.71,-0.0109384871885319
-44.7,-0.0109454297866973
-44.69,-0.0109523723848627
