"Time","Right.Amygdala"
-52.64,1096.1353083733
-52.63,1096.09325413073
-52.62,1096.05119988816
-52.61,1096.00914564559
-52.6,1095.96709140301
-52.59,1095.92503716044
-52.58,1095.88298291787
-52.57,1095.8409286753
-52.56,1095.79887443273
-52.55,1095.75682019016
-52.54,1095.71483072609
-52.53,1095.67284594738
-52.52,1095.63086116867
-52.51,1095.58887638997
-52.5,1095.54689161126
-52.49,1095.50490683255
-52.48,1095.46292205384
-52.47,1095.42093727513
-52.46,1095.37895249643
-52.45,1095.33699173473
-52.44,1095.29507621814
-52.43,1095.25316070155
-52.42,1095.21124518497
-52.41,1095.16932966838
-52.4,1095.12741415179
-52.39,1095.08549863521
-52.38,1095.04358311862
-52.37,1095.00166760203
-52.36,1094.95975208544
-52.35,1094.91788912158
-52.34,1094.87604266599
-52.33,1094.8341962104
-52.32,1094.79234975482
-52.31,1094.75050329923
-52.3,1094.70865684364
-52.29,1094.66681038805
-52.28,1094.62496393246
-52.27,1094.58311747687
-52.26,1094.54128308334
-52.25,1094.49950548825
-52.24,1094.45772789315
-52.23,1094.41595029806
-52.22,1094.37417270296
-52.21,1094.33239510787
-52.2,1094.29061751277
-52.19,1094.24883991768
-52.18,1094.20706232258
-52.17,1094.16528472749
-52.16,1094.12354759905
-52.15,1094.08183866456
-52.14,1094.04012973007
-52.13,1093.99842079558
-52.12,1093.95671186109
-52.11,1093.9150029266
-52.1,1093.87329399211
-52.09,1093.83158505762
-52.08,1093.78987612313
-52.07,1093.74816743358
-52.06,1093.70652696042
-52.05,1093.66488648726
-52.04,1093.6232460141
-52.03,1093.58160554094
-52.02,1093.53996506778
-52.01,1093.49832459461
-52,1093.45668412145
-51.99,1093.41504364829
-51.98,1093.37340317513
-51.97,1093.33179122099
-51.96,1093.29021901049
-51.95,1093.24864679999
-51.94,1093.20707458949
-51.93,1093.165502379
-51.92,1093.1239301685
-51.91,1093.082357958
-51.9,1093.0407857475
-51.89,1092.999213537
-51.88,1092.95764132651
-51.87,1092.91612574503
-51.86,1092.87462159914
-51.85,1092.83311745325
-51.84,1092.79161330736
-51.83,1092.75010916147
-51.82,1092.70860501558
-51.81,1092.66710086969
-51.8,1092.6255967238
-51.79,1092.58409257791
-51.78,1092.54260514057
-51.77,1092.50116886184
-51.76,1092.45973258311
-51.75,1092.41829630437
-51.74,1092.37686002564
