"Time","Right.Accumbens.Area"
-52.64,324.363503933409
-52.63,324.363283559439
-52.62,324.36306318547
-52.61,324.3628428115
-52.6,324.36262243753
-52.59,324.36240206356
-52.58,324.36218168959
-52.57,324.36196131562
-52.56,324.36174094165
-52.55,324.361520567681
-52.54,324.361297177076
-52.53,324.361073568281
-52.52,324.360849959486
-52.51,324.360626350691
-52.5,324.360402741896
-52.49,324.360179133101
-52.48,324.359955524306
-52.47,324.359731915511
-52.46,324.359508306716
-52.45,324.359283561987
-52.44,324.359056677296
-52.43,324.358829792605
-52.42,324.358602907914
-52.41,324.358376023223
-52.4,324.358149138532
-52.39,324.357922253841
-52.38,324.357695369151
-52.37,324.35746848446
-52.36,324.357241599769
-52.35,324.35701219068
-52.34,324.356781988607
-52.33,324.356551786534
-52.32,324.356321584462
-52.31,324.356091382389
-52.3,324.355861180316
-52.29,324.355630978243
-52.28,324.355400776171
-52.27,324.355170574098
-52.26,324.354939783591
-52.25,324.354706222232
-52.24,324.354472660874
-52.23,324.354239099516
-52.22,324.354005538158
-52.21,324.3537719768
-52.2,324.353538415441
-52.19,324.353304854083
-52.18,324.353071292725
-52.17,324.352837731367
-52.16,324.352602165194
-52.15,324.352365202227
-52.14,324.352128239259
-52.13,324.351891276291
-52.12,324.351654313324
-52.11,324.351417350356
-52.1,324.351180387389
-52.09,324.350943424421
-52.08,324.350706461454
-52.07,324.350469486163
-52.06,324.350229078839
-52.05,324.349988671516
-52.04,324.349748264192
-52.03,324.349507856869
-52.02,324.349267449545
-52.01,324.349027042222
-52,324.348786634898
-51.99,324.348546227575
-51.98,324.348305820251
-51.97,324.348063955896
-51.96,324.347820061045
-51.95,324.347576166193
-51.94,324.347332271342
-51.93,324.347088376491
-51.92,324.34684448164
-51.91,324.346600586788
-51.9,324.346356691937
-51.89,324.346112797086
-51.88,324.345868902235
-51.87,324.345622069524
-51.86,324.345374643545
-51.85,324.345127217567
-51.84,324.344879791588
-51.83,324.344632365609
-51.82,324.344384939631
-51.81,324.344137513652
-51.8,324.343890087674
-51.79,324.343642661695
-51.78,324.343394355532
-51.77,324.343143354396
-51.76,324.34289235326
-51.75,324.342641352125
-51.74,324.342390350989
-51.73,324.342139349854
-51.72,324.341888348718
-51.71,324.341637347583
-51.7,324.341386346447
-51.69,324.341135345312
-51.68,324.340881953778
-51.67,324.340627333023
-51.66,324.340372712268
-51.65,324.340118091513
-51.64,324.339863470758
-51.63,324.339608850003
-51.62,324.339354229248
-51.61,324.339099608493
-51.6,324.338844987738
-51.59,324.338590093588
-51.58,324.338331808316
-51.57,324.338073523044
-51.56,324.337815237772
-51.55,324.3375569525
-51.54,324.337298667228
-51.53,324.337040381957
-51.52,324.336782096685
-51.51,324.336523811413
-51.5,324.336265526141
-51.49,324.33600542745
-51.48,324.335743432326
-51.47,324.335481437202
-51.46,324.335219442079
-51.45,324.334957446955
-51.44,324.334695451831
-51.43,324.334433456707
-51.42,324.334171461584
-51.41,324.33390946646
-51.4,324.333647471336
-51.39,324.333382084816
-51.38,324.333116334065
-51.37,324.332850583314
-51.36,324.332584832564
-51.35,324.332319081813
-51.34,324.332053331063
-51.33,324.331787580312
-51.32,324.331521829561
-51.31,324.331256078811
-51.3,324.330989122027
-51.29,324.330719569432
-51.28,324.330450016837
-51.27,324.330180464242
-51.26,324.329910911648
-51.25,324.329641359053
-51.24,324.329371806458
-51.23,324.329102253863
-51.22,324.328832701268
-51.21,324.328563148673
-51.2,324.32829078117
-51.19,324.328017380069
-51.18,324.327743978968
-51.17,324.327470577866
-51.16,324.327197176765
-51.15,324.326923775664
-51.14,324.326650374563
-51.13,324.326376973462
-51.12,324.32610357236
-51.11,324.325829603923
-51.1,324.325552307207
-51.09,324.32527501049
-51.08,324.324997713773
-51.07,324.324720417056
-51.06,324.32444312034
-51.05,324.324165823623
-51.04,324.323888526906
-51.03,324.323611230189
-51.02,324.323333933473
-51.01,324.323054429209
-51,324.322773189318
-50.99,324.322491949427
-50.98,324.322210709536
-50.97,324.321929469645
-50.96,324.321648229754
-50.95,324.321366989863
-50.94,324.321085749972
-50.93,324.320804510081
-50.92,324.32052327019
-50.91,324.320238142702
-50.9,324.319952911627
-50.89,324.319667680551
-50.88,324.319382449475
-50.87,324.319097218399
-50.86,324.318811987324
-50.85,324.318526756248
-50.84,324.318241525172
-50.83,324.317956294096
-50.82,324.317669494621
-50.81,324.317380223896
-50.8,324.317090953171
-50.79,324.316801682446
-50.78,324.316512411721
-50.77,324.316223140995
-50.76,324.31593387027
-50.75,324.315644599545
-50.74,324.31535532882
-50.73,324.315066058095
-50.72,324.314773506468
-50.71,324.314480147172
-50.7,324.314186787877
-50.69,324.313893428581
-50.68,324.313600069285
-50.67,324.31330670999
-50.66,324.313013350694
-50.65,324.312719991399
-50.64,324.312426632103
-50.63,324.312132376268
-50.62,324.311834879022
-50.61,324.311537381777
-50.6,324.311239884531
-50.59,324.310942387285
-50.58,324.310644890039
-50.57,324.310347392793
-50.56,324.310049895548
-50.55,324.309752398302
-50.54,324.309454901056
-50.53,324.309154761866
-50.52,324.308853076829
-50.51,324.308551391792
-50.5,324.308249706755
-50.49,324.307948021719
-50.48,324.307646336682
-50.47,324.307344651645
-50.46,324.307042966608
-50.45,324.306741281571
-50.44,324.306439405507
-50.43,324.306133482375
-50.42,324.305827559243
-50.41,324.305521636112
-50.4,324.30521571298
-50.39,324.304909789848
-50.38,324.304603866717
-50.37,324.304297943585
-50.36,324.303992020453
-50.35,324.303686097322
-50.34,324.303378204402
-50.33,324.303067992406
-50.32,324.30275778041
-50.31,324.302447568414
-50.3,324.302137356418
-50.29,324.301827144422
-50.28,324.301516932426
-50.27,324.30120672043
-50.26,324.300896508434
-50.25,324.300586296438
-50.24,324.300272293427
-50.23,324.29995774133
-50.22,324.299643189232
-50.21,324.299328637135
-50.2,324.299014085038
-50.19,324.29869953294
-50.18,324.298384980843
-50.17,324.298070428746
-50.16,324.297755876648
-50.15,324.297440061068
-50.14,324.297121117162
-50.13,324.296802173257
-50.12,324.296483229351
-50.11,324.296164285446
-50.1,324.29584534154
-50.09,324.295526397635
